DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,NAIN,PWNK,SOPB,SOPO
2001-04-08 06:00:00,166.544,51.523,207.8,123.603,1313.98,401.99,103.994,207.176,88.578,153.833,287.202,96.777,158.06,190.97,189.144,188.994,44.738,256.062
2001-04-08 06:05:00,166.088,51.263,207.6,124.637,1316.9,401.397,102.91450250000008,206.806,87.816,155.283,287.138,96.142,157.5,190.026,188.346,191.326,44.13,256.352
2001-04-08 06:10:00,165.26,52.25,211.167,124.36,1322.6,401.777,103.09771833333339,205.196,87.484,153.67,287.01,96.152,159.16,188.962,193.738,189.27,44.302,256.468
2001-04-08 06:15:00,164.952,51.767,207.467,124.5,1320.46,400.58,103.284,207.03,86.964,153.833,285.218,97.904,159.14,189.998,194.682,191.296,44.444,256.378
2001-04-08 06:20:00,166.65,51.593,208.867,124.903,1315.72,403.177,102.80177833333346,205.478,87.028,153.537,287.714,96.347,156.44,188.444,191.742,188.606,43.872,254.996
2001-04-08 06:25:00,167.828,51.433,207.7,124.377,1326.86,402.1,102.54738729166664,205.316,87.206,155.683,287.489,95.127,155.26,192.076,189.538,193.602,43.858,256.724
2001-04-08 06:30:00,164.484,51.38,206.9,125.65,1319.16,403.077,102.758,207.276,86.568,154.567,286.37,97.109,157.7,189.976,189.214,190.632,43.642,255.168
2001-04-08 06:35:00,165.19,51.793,209.0,125.543,1315.04,401.743,102.7297010416667,207.174,85.858,155.183,284.673,95.299,157.62,189.16,188.582,192.088,43.63,257.424
2001-04-08 06:40:00,168.15,51.817,210.6,124.773,1320.54,399.693,102.97361333333335,205.864,87.242,155.51,285.746,96.019,158.12,188.002,193.054,190.116,44.742,255.71
2001-04-08 06:45:00,165.328,50.153,209.467,123.64,1326.42,401.563,103.366,204.856,88.35,156.87,289.34,99.094,157.12,191.344,191.404,191.056,43.972,256.668
2001-04-08 06:50:00,166.976,51.41,209.0,125.363,1320.64,396.736,102.4052845833333,204.166,87.734,153.853,285.939,97.526,157.74,191.322,190.94,191.966,44.272,255.772
2001-04-08 06:55:00,166.57,50.72,209.267,125.93,1323.1,398.77,102.48455479166664,205.29,87.566,155.017,286.067,97.246,157.34,190.954,187.17,192.414,44.266,257.26
2001-04-08 07:00:00,167.778,52.27,210.267,123.173,1314.66,402.44,103.329,206.82,87.95,152.41,288.234,96.389,156.64,190.712,193.678,190.106,44.194,256.988
2001-04-08 07:05:00,166.096,52.093,212.4,125.313,1316.7,400.3,102.84363437500002,205.12,86.916,154.687,285.521,95.536,158.78,191.302,192.758,193.208,44.404,255.532
2001-04-08 07:10:00,166.292,51.127,208.167,122.853,1313.16,400.07,102.73830249999997,203.778,88.668,155.91,286.71,97.706,158.06,190.622,188.808,192.414,44.098,255.768
2001-04-08 07:15:00,165.488,51.917,210.667,124.163,1316.96,400.277,103.467,204.59,88.614,153.977,285.282,96.306,158.9,192.004,189.408,192.468,44.776,257.78
2001-04-08 07:20:00,166.274,51.73,208.3,123.913,1315.72,399.17,102.63351562500014,204.216,86.99,152.753,284.801,97.0,158.54,189.036,192.974,190.604,44.266,256.372
2001-04-08 07:25:00,167.662,51.77,208.433,124.637,1314.44,397.99,102.47426729166662,206.034,88.18,155.817,286.467,96.856,157.02,188.392,195.044,192.654,44.454,254.352
2001-04-08 07:30:00,166.2,51.233,208.233,125.69,1312.78,400.903,103.224,204.98,87.588,153.347,286.674,96.363,158.56,188.6,189.336,192.044,43.616,256.772
2001-04-08 07:35:00,165.218,51.883,209.633,122.187,1320.96,400.213,102.52329250000007,205.318,87.456,154.73,283.553,95.769,156.64,187.792,193.278,189.316,43.314,256.292
2001-04-08 07:40:00,166.206,51.633,208.133,122.48,1317.7,399.12,102.21490729166672,205.976,85.726,153.28,288.661,94.573,154.72,189.238,191.146,190.498,43.358,257.34
2001-04-08 07:45:00,165.88,51.3,211.033,123.383,1310.28,402.74,102.068,206.308,87.2,154.177,283.985,96.227,156.58,189.928,190.004,191.416,43.736,257.228
2001-04-08 07:50:00,165.54,51.89,210.6,122.423,1318.38,403.707,102.84123291666666,206.054,87.458,155.773,287.797,96.766,157.34,189.974,193.762,190.872,44.134,257.22
2001-04-08 07:55:00,165.392,51.45,208.867,124.873,1314.1,399.183,102.58187791666667,206.378,87.202,153.653,285.394,95.283,155.64,188.866,188.566,192.016,45.028,258.104
2001-04-08 08:00:00,164.724,51.747,210.3,123.95,1312.02,403.363,103.248,204.36,88.232,150.537,284.097,95.861,156.08,192.402,186.538,189.916,43.722,255.084
2001-04-08 08:05:00,166.392,50.71,208.867,124.6,1303.36,401.12,102.29613499999998,205.416,86.036,155.967,284.529,96.042,156.86,190.146,191.42,194.38,43.9,254.556
2001-04-08 08:10:00,165.652,51.313,210.867,123.38,1310.44,401.987,102.33845291666677,202.878,87.274,152.923,285.955,95.922,156.36,190.508,192.24,191.042,43.89,253.784
2001-04-08 08:15:00,165.688,51.553,211.1,125.39,1310.44,400.747,102.222,204.152,88.754,153.707,283.437,96.415,156.48,190.03,190.568,188.778,44.234,257.856
2001-04-08 08:20:00,164.11,52.673,212.0,124.61,1306.4,401.313,102.5630816666665,205.078,87.626,153.983,285.539,95.982,156.58,191.884,192.362,190.932,44.378,257.322
2001-04-08 08:25:00,165.522,51.55,211.433,124.19,1312.5,400.533,102.61040583333333,204.238,87.182,153.613,288.007,96.3,156.7,191.676,192.982,190.266,43.872,255.764
2001-04-08 08:30:00,165.42,51.737,209.833,126.54,1315.7,399.433,102.005,206.964,87.388,151.727,285.058,96.07,156.14,188.198,190.94,192.788,44.214,260.0
2001-04-08 08:35:00,165.066,50.153,209.467,123.05,1312.58,401.983,102.66554375,206.746,86.586,153.153,285.33,95.423,156.08,192.072,191.57,190.57,44.078,255.374
