DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,NAIN,PWNK,SOPB,SOPO
2001-04-28 00:00:00,169.686,52.177,209.4,126.403,1345.78,412.397,104.42,211.274,92.252,157.3,302.076,98.539,159.44,198.518,200.068,199.364,46.108,268.742
2001-04-28 00:05:00,170.936,51.643,212.0,125.957,1352.72,411.02,,211.43,90.742,158.6,299.205,96.985,160.92,200.46,198.738,200.286,46.578,268.496
2001-04-28 00:10:00,166.55,53.167,210.333,126.3,1341.78,414.053,,212.086,91.266,160.9,300.853,100.201,158.92,200.5,199.096,200.116,46.756,268.094
2001-04-28 00:15:00,168.336,52.857,210.433,124.3,1358.92,413.163,104.579,211.392,91.996,159.143,299.012,98.774,160.96,198.998,195.868,203.446,46.222,268.708
2001-04-28 00:20:00,168.674,51.94,209.7,125.21,1354.84,414.167,,212.526,89.674,156.723,298.059,98.838,160.8,200.352,199.234,200.184,45.964,268.654
2001-04-28 00:25:00,170.05,51.823,211.6,128.76,1350.54,414.97,,210.44,90.122,157.117,299.956,99.584,159.44,198.7,200.896,199.628,46.528,267.574
2001-04-28 00:30:00,169.606,51.903,212.733,126.16,1353.12,410.573,104.098,212.098,90.482,157.923,295.928,98.721,162.2,198.504,196.612,200.87,46.328,268.934
2001-04-28 00:35:00,168.488,52.393,210.733,126.407,1354.72,415.193,,211.7,90.584,156.743,298.357,98.806,159.92,200.38,198.962,198.468,45.67,268.658
2001-04-28 00:40:00,169.826,53.057,213.233,126.223,1346.56,411.873,,210.664,90.04,157.4,299.963,98.29,159.72,199.214,199.018,198.088,47.146,268.44
2001-04-28 00:45:00,169.726,53.64,211.033,128.073,1343.68,414.217,104.788,213.42,91.072,159.767,301.848,100.458,160.6,198.048,197.978,202.328,46.382,269.138
2001-04-28 00:50:00,169.492,51.617,211.733,125.813,1351.52,413.563,,213.408,89.894,158.04,296.753,97.884,160.84,199.832,197.554,198.844,46.432,269.13
2001-04-28 00:55:00,169.49,51.73,209.567,125.727,1345.34,411.09,,210.814,89.406,158.257,295.86,98.171,160.78,199.076,198.348,197.756,46.254,267.814
