DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,NAIN,PWNK,THUL,SOPB,SOPO
2001-09-25 15:25:00,172.802,51.693,210.2,126.603,1361.62,402.757,104.05645874999988,211.12,90.148,156.78,292.1,96.131,160.42,196.438,199.512,202.3,112.894,46.51,267.082
2001-09-25 15:30:00,170.894,52.763,212.533,125.26,1359.7,406.263,104.216,212.376,90.502,156.203,293.877,98.571,159.52,197.838,202.266,196.793,111.53,46.446,266.536
2001-09-25 15:35:00,169.88,53.177,210.633,127.49,1361.96,406.867,104.53021958333328,212.916,90.504,155.377,292.721,98.744,161.68,196.004,201.06,195.99,113.464,46.014,268.048
2001-09-25 15:40:00,173.254,51.47,209.667,125.217,1358.16,409.067,104.52118374999995,211.83,89.162,158.603,292.754,97.88,159.68,196.502,199.674,200.318,114.046,46.488,267.922
2001-09-25 15:45:00,171.458,52.49,210.2,125.85,1355.68,406.51,104.668,211.75,90.598,158.503,294.205,96.893,158.84,197.102,200.748,198.464,111.918,46.004,268.582
2001-09-25 15:50:00,169.704,51.433,211.133,127.76,1360.5,409.577,104.3829016666667,214.456,89.5,156.46,293.968,98.088,158.24,196.65,200.89,199.818,113.392,46.316,265.562
2001-09-25 15:55:00,169.87,51.353,210.367,127.173,1361.96,405.613,104.50525333333333,213.66,89.536,155.99,293.288,98.729,159.9,197.306,200.148,200.84,113.13,46.232,267.868
2001-09-25 16:00:00,169.534,51.833,212.967,126.33,1358.34,413.283,104.398,213.836,89.152,156.003,294.714,98.78,160.7,196.044,202.422,199.574,113.092,46.412,267.916
2001-09-25 16:05:00,170.252,50.957,210.967,124.49,1358.52,407.503,104.50654291666672,213.026,88.542,155.877,295.019,98.499,160.7,196.546,201.574,198.668,114.088,46.732,267.244
2001-09-25 16:10:00,168.552,51.813,211.067,127.127,1363.3,403.27,104.04360250000016,212.288,90.782,154.923,294.307,98.971,159.58,196.738,201.082,201.54,112.168,46.406,269.08
2001-09-25 16:15:00,170.032,51.727,206.833,126.07,1356.08,406.95,104.539,210.612,89.478,158.883,292.837,98.087,160.14,195.378,201.594,200.312,112.766,46.15,268.34
2001-09-25 16:20:00,171.432,51.863,212.933,125.183,1357.74,406.81,104.53397916666658,213.626,90.372,154.443,291.615,99.065,160.4,196.238,203.184,199.576,113.15,45.852,269.514
2001-09-25 16:25:00,172.82,52.097,211.033,126.327,1364.28,407.664,104.44862416666666,211.332,88.86,157.23,294.024,98.783,159.56,196.518,199.988,200.12,111.358,46.356,267.056
2001-09-25 16:30:00,170.59,51.45,209.5,125.36,1366.82,402.69,104.362,213.894,91.01,157.72,295.257,97.101,160.58,196.334,200.936,200.252,112.92,46.846,266.294
2001-09-25 16:35:00,171.68,51.073,209.7,127.11,1365.42,404.297,104.50037750000007,210.956,90.538,154.967,292.972,98.302,159.48,196.534,201.614,200.038,112.282,45.834,266.218
2001-09-25 16:40:00,172.502,53.293,211.2,126.397,1362.86,407.923,104.63535041666663,210.726,90.018,156.87,295.755,99.869,158.12,195.716,202.566,201.176,112.698,45.922,269.108
2001-09-25 16:45:00,170.494,52.113,211.967,127.303,1353.62,406.303,104.266,211.586,90.556,154.577,297.98,97.853,160.18,196.732,201.978,198.908,111.288,46.048,267.858
2001-09-25 16:50:00,169.83,52.137,208.1,124.473,1360.38,409.487,104.62043833333333,211.654,89.63,157.136,293.538,100.039,158.94,197.948,200.804,201.09,112.946,46.498,267.798
2001-09-25 16:55:00,171.042,51.507,211.867,125.4,1359.18,411.55,104.56593458333326,212.462,89.67,158.286,292.521,99.712,161.86,196.468,201.726,199.152,112.514,46.914,267.216
2001-09-25 17:00:00,170.818,51.68,209.767,125.927,1356.04,409.823,104.982,212.704,89.888,155.977,297.525,99.081,159.26,200.0,202.212,200.668,112.218,46.17,268.978
