DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,KERG,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2001-10-11 12:00:00,169.746,52.153,211.167,126.847,1369.3,410.26,103.885,215.536,88.504,157.483,229.5449999999986,295.667,101.496,165.02,198.26,174.356,199.918,198.472,111.96,46.112,267.722
2001-10-11 12:05:00,172.878,52.557,212.967,128.07,1374.82,407.39,104.25670791666657,215.722,92.864,157.3,229.5449999999986,295.327,97.216,162.56,199.322,173.736,199.77,201.22,111.7,46.228,270.268
2001-10-11 12:10:00,171.624,53.717,211.967,125.723,1372.56,409.98,104.03256458333338,213.363,89.924,158.867,229.5449999999986,295.974,99.575,163.0,199.826,176.58,199.112,199.19566166666672,111.526,46.376,270.282
2001-10-11 12:15:00,171.492,52.687,213.733,125.617,1377.5,407.0,104.462,214.004,90.92,159.417,229.5449999999986,296.712,99.49,162.5,197.908,174.208,201.876,200.17333416666682,112.064,46.128,269.752
2001-10-11 12:20:00,172.764,52.547,213.933,128.213,1374.82,406.397,104.11701541666666,210.946,90.74,156.133,229.5449999999986,297.912,99.613,160.36,199.048,176.93,198.122,197.832,111.792,46.5,267.69
2001-10-11 12:25:00,173.642,52.707,213.3,126.723,1374.3,408.75,103.82935187500011,213.22,89.706,159.29,229.5449999999986,296.624,100.134,162.14,197.476,177.896,196.128,196.554,113.492,46.668,269.74
2001-10-11 12:30:00,170.928,53.73,212.733,127.94,1378.36,407.56,104.332,217.162,90.754,157.787,229.5449999999986,298.785,100.269,161.7,197.41,175.206,198.932,197.04,113.016,46.65,270.284
2001-10-11 12:35:00,172.182,52.527,213.967,128.257,1372.48,408.78,104.39573083333323,214.378,92.266,158.847,229.5449999999986,296.348,99.156,161.34,199.536,176.082,199.666,198.082,110.79,46.498,270.824
2001-10-11 12:40:00,173.264,52.583,213.733,127.887,1382.96,406.657,104.16426729166666,213.424,90.132,159.02,229.5449999999986,298.571,100.021,162.14,199.236,175.324,200.162,197.38,112.974,46.618,268.442
2001-10-11 12:45:00,171.396,52.743,213.567,128.2,1381.16,411.073,104.121,215.122,90.914,158.173,229.5449999999986,298.201,99.643,162.26,200.224,173.408,198.326,196.834,111.766,46.33,268.36
2001-10-11 12:50:00,172.222,51.907,214.133,128.19,1373.9,412.983,104.50434583333325,213.48,90.73,158.017,229.5449999999986,295.916,100.437,163.66,198.996,176.258,198.66,199.042,111.812,46.874,269.442
2001-10-11 12:55:00,170.48,52.35,213.733,127.763,1368.44,408.357,104.27136583333333,214.516,89.82,159.313,229.5449999999986,296.317,99.065,163.32,197.816,175.338,199.81,198.114,112.806,47.146,267.69
2001-10-11 13:00:00,173.104,54.373,213.9,128.187,1384.02,409.386,104.833,215.358,91.014,158.67,229.5449999999986,297.77,101.248,162.62,200.158,176.91,200.028,199.676,112.336,46.524,270.73
2001-10-11 13:05:00,173.892,53.37,212.833,126.507,1378.68,411.107,104.14682687499997,214.738,90.804,157.46,229.5449999999986,296.936,100.598,163.14,199.354,176.264,198.84,197.797,112.65,46.218,267.402
2001-10-11 13:10:00,171.644,52.437,215.833,129.077,1379.12,411.727,104.65428458333334,214.434,90.762,156.97,229.5449999999986,297.245,98.571,164.02,197.096,176.162,199.95,197.78,112.072,46.816,270.106
2001-10-11 13:15:00,173.824,52.75,215.533,126.597,1374.26,409.05,103.069,213.502,89.33,158.65,229.5449999999986,297.245,99.722,161.16,198.516,176.944,199.138,199.744,113.658,46.374,269.934
2001-10-11 13:20:00,174.744,51.553,212.233,127.77,1375.74,415.353,103.95640125,216.926,89.834,156.08,229.5449999999986,295.821,97.341,161.9,199.704,174.0,201.954,196.982,113.652,45.448,269.298
2001-10-11 13:25:00,173.814,52.57,214.767,127.793,1379.76,411.4,104.45757166666664,215.338,91.036,159.7,229.5449999999986,295.728,99.254,162.88,198.828,176.876,201.07,197.296,112.992,46.12,269.752
2001-10-11 13:30:00,172.41,53.357,214.167,127.947,1378.46,410.197,104.448,215.808,92.004,158.087,229.5449999999986,295.354,101.472,163.28,197.724,175.176,200.336,197.658,112.284,46.308,268.508
2001-10-11 13:35:00,174.916,52.57,211.5,128.377,1381.3,405.873,104.01769562499997,217.822,90.704,159.71,229.5449999999986,293.0,96.201,161.04,199.264,174.296,200.408,200.428,111.752,45.982,270.76
2001-10-11 13:40:00,172.654,52.27,213.367,129.18,1383.42,410.957,104.1391066666666,215.254,89.178,157.59,229.5449999999986,297.524,99.328,164.82,198.142,175.862,201.008,198.446,112.278,45.86,269.482
2001-10-11 13:45:00,173.846,53.437,213.1,127.38,1374.34,406.15,103.795,215.89,91.922,157.253,229.5449999999986,295.352,100.867,164.06,199.734,174.104,200.666,197.526,112.194,46.682,269.69
2001-10-11 13:50:00,172.03,53.037,210.067,127.903,1370.1,408.223,104.07999375,211.634,91.484,158.157,229.5449999999986,298.209,99.399,161.26,197.614,175.002,203.3,199.47,112.47,46.706,270.068
2001-10-11 13:55:00,175.244,52.78,214.167,127.487,1375.22,409.03,103.86193062500004,215.624,89.476,159.473,229.5449999999986,294.791,99.675,164.18,198.408,174.916,202.128,200.154,114.214,46.44,272.408
2001-10-11 14:00:00,174.814,53.38,212.9,128.823,1377.24,408.634,103.738,212.48,89.946,157.407,229.5449999999986,297.432,100.804,163.4,198.304,175.378,199.808,199.262,114.63,45.918,270.582
2001-10-11 14:05:00,172.316,53.08,212.9,126.543,1380.08,408.1,104.22273374999999,215.19,89.534,158.953,229.5449999999986,295.813,99.744,163.64,196.154,176.568,199.806,198.464,113.04,46.532,269.492
2001-10-11 14:10:00,172.294,52.26,214.033,127.08,1385.46,409.727,104.60610333333328,215.934,91.164,158.033,229.5449999999986,296.653,99.566,161.72,195.59,177.058,200.098,199.654,113.386,46.564,269.598
2001-10-11 14:15:00,173.39,53.217,214.833,128.71,1377.26,409.287,105.201,216.652,91.588,157.233,229.5449999999986,297.118,100.091,163.12,196.064,175.642,200.198,198.938,114.05,46.278,269.284
2001-10-11 14:20:00,172.796,53.273,212.2,127.447,1379.74,409.983,104.33758624999997,216.976,90.11,158.09,229.5449999999986,291.817,99.612,163.52,195.904,176.554,200.464,199.644,112.59,45.604,271.144
2001-10-11 14:25:00,173.254,52.953,211.767,126.703,1372.94,408.824,104.29819229166668,216.136,90.988,158.03,229.5449999999986,297.366,99.778,164.48,196.464,176.946,200.704,200.91,112.792,45.896,269.364
2001-10-11 14:30:00,172.442,51.567,216.0,127.077,1383.38,407.987,105.082,213.602,90.936,158.673,229.5449999999986,296.05,99.11,163.6,197.208,175.6,198.568,199.366,113.036,46.598,268.42
2001-10-11 14:35:00,172.546,53.09,215.2,126.987,1380.5,407.213,104.10415645833332,214.082,89.44,159.16,229.5449999999986,295.858,99.423,160.44,196.754,175.02,201.604,199.384,112.98,46.582,269.86
2001-10-11 14:40:00,174.946,51.697,211.133,128.763,1378.86,408.6,104.10935833333333,213.194,91.686,157.043,229.5449999999986,295.543,99.692,161.58,198.022,175.16,200.668,200.614,111.46,46.37,267.992
2001-10-11 14:45:00,173.448,53.56,212.367,126.97,1383.46,407.133,103.843,213.076,91.412,158.493,229.5449999999986,294.452,100.23,162.26,198.178,174.782,199.56,200.132,112.524,45.776,269.43
2001-10-11 14:50:00,172.236,52.48,213.1,127.417,1374.16,410.577,104.3046483333332,214.918,90.674,158.6,229.5449999999986,296.951,98.239,163.26,196.9,174.474,200.564,200.252,111.58,46.592,269.442
2001-10-11 14:55:00,171.706,51.577,211.733,126.427,1373.62,410.72,104.15240208333329,214.552,91.132,158.757,229.5449999999986,296.043,99.432,161.48,199.146,173.132,200.416,199.738,113.274,46.942,269.998
2001-10-11 15:00:00,172.678,53.873,215.1,127.9,1370.92,410.253,104.679,214.15,90.518,156.8,229.5449999999986,294.838,100.729,161.0,197.522,172.79,200.476,201.904,112.622,45.51,271.092
2001-10-11 15:05:00,174.288,52.923,215.067,127.45,1371.54,406.227,103.97659062500006,213.928,90.776,158.027,229.5449999999986,296.47,99.033,162.2,195.27,172.358,202.786,200.34,112.544,46.444,268.234
2001-10-11 15:10:00,174.132,53.353,212.867,126.43,1382.52,410.85,104.1368614583334,213.932,90.488,158.293,229.5449999999986,293.96,98.419,162.4,197.428,173.178,200.67,203.286,112.926,46.152,268.806
