DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,KERG,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2001-10-21 11:45:00,170.3,52.753,217.433,124.647,1370.74,411.38,105.423,215.942,91.234,157.873,,297.795,99.329,158.22,200.032,176.986,200.03,199.67,112.484,46.24,267.592
2001-10-21 11:50:00,171.264,52.71,214.067,129.2,1372.96,410.457,,212.924,90.72,157.847,,297.288,100.149,156.96,200.434,173.888,202.106,200.562,112.19,45.706,268.058
2001-10-21 11:55:00,170.588,52.373,216.733,127.077,1368.92,409.363,,215.232,90.436,158.394,,294.78,98.805,157.78,199.558,174.846,201.22,200.572,112.986,45.656,266.458
2001-10-21 12:00:00,170.516,51.387,215.333,127.743,1373.76,409.0,105.054,213.66,88.786,158.626,,295.22,99.457,159.74,200.066,177.058,200.644,199.51,113.974,45.82,266.046
2001-10-21 12:05:00,171.394,51.9,213.4,127.04,1374.52,410.633,,212.396,92.02,161.273,,296.766,99.466,159.82,197.308,176.4,200.448,200.306,113.206,46.48,266.792
2001-10-21 12:10:00,171.92,52.453,213.667,126.563,1368.62,410.72,,215.128,90.246,159.213,,297.362,99.771,159.96,200.286,175.078,199.558,199.968,113.744,46.854,269.698
2001-10-21 12:15:00,169.412,51.867,212.967,126.58,1376.82,410.853,105.03,214.454,89.876,157.37,,290.756,98.738,159.34,199.2,176.278,200.706,200.31,112.458,45.068,266.888
2001-10-21 12:20:00,171.312,52.113,213.733,126.037,1365.2,408.527,,212.336,89.99,158.56,,293.392,97.276,159.56,197.642,174.174,199.744,199.71,112.018,46.02,267.978
2001-10-21 12:25:00,171.832,52.687,211.2,127.08,1366.88,410.074,,212.46,89.716,159.48,,293.798,98.306,159.3,198.786,175.34,200.598,199.184,111.684,46.45,266.674
2001-10-21 12:30:00,170.872,52.78,212.467,125.653,1362.92,411.47,105.607,214.648,90.498,158.117,,291.658,100.323,159.52,199.528,175.376,200.616,199.958,111.36,45.508,267.47
2001-10-21 12:35:00,170.276,53.06,214.9,126.83,1371.76,410.42,,215.184,90.22,160.177,,297.468,98.929,159.86,197.404,176.742,200.09,198.8,112.028,45.776,267.756
2001-10-21 12:40:00,172.546,52.57,216.133,127.39,1382.22,407.493,,214.306,90.53,158.227,,295.948,98.621,157.68,199.524,173.872,199.116,,111.342,45.914,267.844
2001-10-21 12:45:00,171.852,51.667,215.7,128.3,1366.8,406.92,104.931,213.892,90.2,159.33,,295.678,98.054,156.86,200.818,175.272,201.058,199.452,111.644,46.08,267.404
2001-10-21 12:50:00,168.856,51.397,214.7,127.847,1373.38,410.333,,212.372,92.078,158.473,,295.128,100.588,159.54,197.426,175.238,199.274,200.664,111.758,45.088,267.84
2001-10-21 12:55:00,171.786,52.137,213.667,128.003,1376.62,406.64,,215.674,90.704,158.773,,293.336,99.203,159.5,198.14,176.438,200.626,196.146,112.976,45.208,266.058
2001-10-21 13:00:00,170.594,51.64,216.067,127.283,1367.22,410.903,105.429,213.146,91.174,157.637,,295.805,100.685,157.5,200.31,176.356,199.146,198.31,112.628,46.806,266.13
2001-10-21 13:05:00,171.214,51.833,211.333,127.953,1366.26,407.663,,214.666,91.05,157.25,,296.38,97.549,158.14,199.918,176.97,201.322,201.316,111.244,45.828,265.104
2001-10-21 13:10:00,171.922,52.247,216.0,127.857,1366.74,408.16,,213.82,90.972,160.003,,295.082,99.508,158.66,199.544,175.738,199.548,199.344,113.29,45.8,268.434
2001-10-21 13:15:00,170.884,52.403,214.667,126.957,1369.54,407.797,106.568,214.004,90.32,157.483,,293.178,99.436,157.56,196.578,178.026,202.216,198.524,111.788,45.712,271.31
2001-10-21 13:20:00,169.732,52.183,215.833,129.307,1373.52,410.543,,211.76,89.96,157.927,,295.035,99.671,158.78,197.258,175.064,201.222,198.124,111.214,45.846,269.828
2001-10-21 13:25:00,172.374,52.86,215.967,125.717,1373.26,409.213,,214.218,92.306,157.777,,294.753,99.894,157.8,195.78,176.998,198.06,197.894,112.092,46.696,267.406
2001-10-21 13:30:00,170.666,53.33,212.667,126.8,1365.68,409.59,104.792,214.318,91.228,157.737,,295.294,98.043,157.54,196.596,175.12,197.608,200.178,110.828,46.628,269.68
2001-10-21 13:35:00,171.304,52.48,217.433,126.597,1374.62,410.783,,215.81,90.132,157.87,,297.251,99.115,157.92,198.284,175.174,199.89,199.28,113.176,45.99,270.19
