DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2001-11-24 00:55:00,167.432,52.31,210.967,127.92,1354.5,406.38,,211.416,88.752,156.66,294.84,98.319,157.88,194.388,173.524,195.028,196.59,110.338,,
2001-11-24 01:00:00,168.002,51.633,213.867,125.983,1353.68,405.067,104.801,211.204,89.124,157.61,294.13,97.814,159.5,194.878,173.826,194.552,196.832,110.632,,
2001-11-24 01:05:00,168.936,52.4,214.5,128.03,1363.38,403.62,,210.548,89.788,155.543,292.267,99.409,157.38,193.326,176.622,193.714,197.756,110.454,,
2001-11-24 01:10:00,168.202,51.513,211.667,126.777,1354.06,408.483,,209.184,88.898,156.467,292.861,96.99,157.94,193.482,174.414,193.75,196.756,112.002,,
2001-11-24 01:15:00,167.516,51.81,209.6,126.107,1353.54,404.07,103.419,209.964,90.918,156.107,295.385,99.365,158.92,195.56,177.788,193.524,197.956,111.928,,
2001-11-24 01:20:00,167.278,51.85,211.167,126.21,1352.5,405.373,,210.464,89.882,157.36,294.015,98.173,158.4,192.772,172.806,192.468,199.316,111.41,,
2001-11-24 01:25:00,168.644,53.297,210.133,125.857,1361.52,405.68,,211.794,88.49,157.523,294.444,96.889,160.34,196.178,174.76,195.082,195.822,110.98,,
2001-11-24 01:30:00,169.43,52.403,212.2,125.457,1361.82,405.753,104.294,209.568,89.352,158.25,293.47,98.805,158.7,194.998,174.146,195.046,199.125,110.78,,
2001-11-24 01:35:00,168.542,50.97,210.8,127.58,1360.6,401.18,,210.408,90.344,156.937,295.486,96.637,157.34,194.308,174.074,195.806,195.04,112.136,,
2001-11-24 01:40:00,168.194,51.94,212.1,126.843,1359.36,408.513,,212.39,88.798,157.263,294.726,98.471,159.04,194.824,172.916,193.032,198.802,111.882,,
2001-11-24 01:45:00,168.392,52.593,212.6,125.657,1366.48,403.317,103.816,209.864,89.68,156.43,295.685,97.849,159.5,193.64,176.628,192.44,197.17,112.046,,
2001-11-24 01:50:00,170.236,52.583,210.567,125.56,1364.08,405.913,,211.704,88.788,156.333,295.189,98.127,159.08,193.96,173.184,193.082,198.678,111.206,,
2001-11-24 01:55:00,169.162,50.853,209.2,127.46,1356.6,407.267,,211.398,89.616,157.983,294.991,96.771,158.16,194.86,175.312,193.096,197.304,112.93,,
2001-11-24 02:00:00,171.874,51.757,212.533,126.127,1369.32,407.437,103.791,212.234,89.2,156.35,293.435,99.601,160.12,193.91,174.402,194.614,196.642,110.552,,
2001-11-24 02:05:00,168.734,52.163,211.167,127.62,1366.84,405.97,,215.296,91.496,157.097,295.256,97.302,158.46,195.5,172.11,195.96,196.26,110.792,,
2001-11-24 02:10:00,168.554,51.887,211.867,128.313,1360.24,407.097,,209.51,89.69,158.203,292.821,100.033,159.62,193.836,174.676,195.464,196.804,111.154,,
2001-11-24 02:15:00,168.72,51.403,211.867,126.82,1367.42,404.557,103.018,212.588,91.564,156.7,294.891,98.252,159.8,193.812,175.216,196.12,197.554,112.332,,
2001-11-24 02:20:00,168.06,52.847,210.367,125.757,1363.86,407.674,,212.864,90.038,157.033,294.974,96.466,160.0,194.26,174.466,195.624,196.194,111.666,,
2001-11-24 02:25:00,169.292,51.903,211.7,126.193,1369.44,408.037,,210.382,91.314,156.407,296.051,97.943,158.66,192.952,174.442,194.056,195.732,111.698,,
2001-11-24 02:30:00,170.082,53.177,212.867,126.943,1355.44,408.707,102.314,211.576,88.94,154.87,293.665,97.677,158.66,193.328,172.64,194.074,199.778,110.706,,
2001-11-24 02:35:00,168.042,53.783,211.633,126.63,1364.74,407.31,,210.464,90.582,157.51,295.953,96.723,160.14,194.924,175.06,193.612,198.964,113.186,,
2001-11-24 02:40:00,170.012,50.797,213.3,126.993,1363.22,410.217,,212.208,90.05,158.117,293.997,97.741,159.84,194.986,176.164,192.644,196.216,111.23,,
2001-11-24 02:45:00,170.2,52.543,211.567,126.007,1366.76,409.973,104.086,212.672,89.534,155.48,291.226,97.688,157.16,194.186,173.14,194.414,198.09,110.598,,
2001-11-24 02:50:00,168.586,52.31,211.267,126.54,1357.3,408.337,,212.15,89.794,157.967,296.252,98.463,155.38,193.948,171.306,192.716,196.97,112.498,,
2001-11-24 02:55:00,170.508,52.493,211.1,126.03,1362.22,405.74,,208.964,89.562,154.57,292.918,96.788,159.1,193.824,177.18,193.478,197.336,111.314,,
2001-11-24 03:00:00,172.654,51.953,212.267,128.057,1366.8,410.597,104.068,210.25,89.738,157.887,294.044,99.613,159.44,194.994,172.91,191.948,196.57,111.506,,
2001-11-24 03:05:00,170.432,51.6,212.7,124.327,1368.26,408.543,,211.982,89.166,156.413,293.379,97.82,158.44,194.964,174.224,192.468,197.11,110.938,,
2001-11-24 03:10:00,169.764,51.543,212.433,125.16,1357.22,407.31,,212.774,90.87,158.143,293.445,97.137,160.24,194.51,174.922,193.214,197.994,111.43,,
2001-11-24 03:15:00,169.714,53.03,212.767,129.41,1365.22,407.633,104.329,211.626,89.762,157.537,295.571,96.161,161.42,191.91,172.192,194.684,195.59,111.808,,
2001-11-24 03:20:00,169.644,52.85,211.033,127.06,1360.08,407.84,,211.25,89.102,158.0,294.874,97.486,160.02,196.038,172.51,192.824,200.166,110.474,,
2001-11-24 03:25:00,168.852,53.633,212.8,125.73,1364.7,407.747,,211.36,89.572,158.92,294.325,98.049,159.24,195.088,175.328,193.828,197.372,111.9,,
2001-11-24 03:30:00,168.982,52.29,211.9,125.833,1357.86,408.1,104.602,210.922,89.862,157.73,293.841,98.735,157.9,194.346,173.892,194.368,198.706,111.234,,
2001-11-24 03:35:00,169.092,53.047,212.267,125.593,1371.26,408.983,,210.746,89.19,157.1,293.674,97.892,160.4,194.266,173.606,194.376,197.78,111.426,,
2001-11-24 03:40:00,171.346,52.397,211.667,127.083,1365.14,412.973,,211.234,89.17,156.877,294.288,97.116,161.04,196.062,173.282,192.836,196.96,111.404,,
2001-11-24 03:45:00,169.704,52.667,212.833,125.343,1359.56,409.557,103.977,211.956,89.29,157.687,294.04,97.797,158.26,194.166,173.348,195.85,195.802,111.204,,
2001-11-24 03:50:00,170.492,52.47,211.5,127.62,1362.52,410.153,,215.71,88.858,156.503,294.207,96.816,158.88,195.91,173.858,195.704,196.684,111.474,,
2001-11-24 03:55:00,170.494,51.553,212.7,125.29,1369.34,407.59,,213.942,88.782,159.41,292.923,98.201,159.32,196.14,174.63,194.734,196.852,112.032,,
2001-11-24 04:00:00,167.77,52.6,210.9,128.373,1364.86,411.477,104.294,211.412,89.116,157.1,294.521,98.689,162.66,195.756,175.28,194.15,196.648,111.628,,
2001-11-24 04:05:00,170.202,52.55,212.8,126.023,1356.08,410.44,,211.432,90.708,158.313,295.219,97.08,159.58,192.736,173.734,194.006,196.798,111.492,,
2001-11-24 04:10:00,169.022,51.407,210.967,126.763,1363.92,408.563,,211.6,89.592,154.217,292.957,97.373,161.2,193.498,175.156,193.132,197.2,111.996,,
2001-11-24 04:15:00,169.904,52.41,211.8,126.043,1371.28,411.527,104.363,211.614,89.032,157.85,294.473,98.372,159.9,195.71,177.532,193.902,197.942,112.208,,
2001-11-24 04:20:00,169.576,52.15,209.667,126.727,1364.1,410.603,,214.524,89.218,156.607,294.988,96.913,159.8,193.418,174.644,192.096,198.122,111.528,,
2001-11-24 04:25:00,170.096,52.35,212.333,125.787,1366.98,411.05,,213.99,89.524,159.42,295.238,98.74,158.68,192.61,177.35,191.198,197.608,111.72,,
2001-11-24 04:30:00,169.922,53.93,211.967,126.323,1367.82,414.797,104.001,212.15,89.3,158.507,294.404,99.131,160.1,194.713,175.57,193.278,197.82,110.736,,
2001-11-24 04:35:00,169.47,53.1,211.633,126.287,1366.8,409.603,,211.712,89.908,159.847,293.689,99.203,160.12,194.51,175.164,193.328,195.918,112.018,,
2001-11-24 04:40:00,171.32,53.917,213.033,129.13,1361.1,413.34,,213.006,88.958,156.734,297.318,98.629,160.4,196.496,175.69,192.0,196.982,111.21,,
2001-11-24 04:45:00,171.06,52.757,211.7,127.157,1365.4,407.233,104.092,210.396,89.708,158.377,298.72,97.737,158.16,195.662,175.4,194.164,200.108,111.65,,
2001-11-24 04:50:00,171.436,51.493,212.567,125.977,1367.08,410.743,,214.164,89.728,157.183,294.07,98.175,160.6,194.468,174.494,193.83,197.878,112.502,,
2001-11-24 04:55:00,169.184,53.57,208.833,127.73,1361.64,408.81,,213.602,89.69,156.06,292.985,97.575,160.8,193.846,173.99,192.188,198.07,112.376,,
2001-11-24 05:00:00,170.558,52.59,212.6,124.813,1362.44,406.583,103.312,212.018,89.128,156.993,294.4,98.495,160.84,193.934,175.608,194.206,196.474,111.508,,
2001-11-24 05:05:00,172.348,52.653,212.2,127.52,1364.6,411.97,,213.054,89.422,157.553,294.0,96.522,160.42,195.402,174.836,193.012,197.708,112.52,,
2001-11-24 05:10:00,169.708,52.063,211.767,126.373,1360.8,410.127,,213.826,89.502,158.947,292.731,99.134,159.7,194.57,175.024,191.922,196.878,111.894,,
2001-11-24 05:15:00,168.772,53.573,212.0,125.34,1366.12,409.977,104.642,213.768,90.48,156.083,292.898,98.059,159.08,194.598,174.922,193.278,198.138,111.818,,
2001-11-24 05:20:00,169.842,53.07,212.333,127.047,1361.42,415.973,,211.8,88.594,159.437,294.449,99.355,159.78,194.126,173.546,194.374,197.164,112.248,,
2001-11-24 05:25:00,170.486,53.783,210.7,126.877,1365.02,409.927,,212.556,89.792,157.757,295.416,98.757,158.66,195.23,174.916,193.084,196.294,111.2,,
2001-11-24 05:30:00,170.884,53.02,211.0,125.827,1364.42,414.923,103.095,211.824,88.474,157.273,296.518,97.389,158.82,194.368,174.93,194.882,197.978,112.24,,
2001-11-24 05:35:00,168.304,51.457,213.267,126.793,1358.76,410.8,,212.47,88.762,157.507,297.57,99.845,160.26,194.296,174.614,193.128,199.32,112.918,,
2001-11-24 05:40:00,170.976,53.34,212.233,126.877,1361.0,408.887,,210.16,88.278,157.46,298.906,98.851,161.42,195.89,177.568,193.492,195.544,113.008,,
2001-11-24 05:45:00,168.688,52.34,209.867,129.313,1366.36,409.017,103.983,210.114,89.914,156.92,297.837,99.581,160.16,193.074,173.3,193.326,199.696,111.772,,
2001-11-24 05:50:00,168.95,53.21,212.933,126.343,1364.08,409.63,,212.562,90.192,157.8,294.744,99.635,159.78,194.278,172.686,191.72,196.466,112.804,,
2001-11-24 05:55:00,167.574,52.647,212.0,126.123,1360.38,405.477,,210.668,88.918,157.547,296.968,98.833,159.48,193.718,174.908,192.526,198.176,112.05,,
2001-11-24 06:00:00,168.746,51.723,210.233,124.377,1356.14,406.357,103.44,214.07,90.356,158.827,295.213,98.368,160.54,195.342,174.076,191.686,196.374,109.444,,
2001-11-24 06:05:00,169.616,52.747,207.133,124.84,1355.22,406.667,,214.254,89.208,158.587,292.002,97.297,158.4,195.336,176.086,192.396,199.036,109.676,,
2001-11-24 06:10:00,168.886,51.893,211.533,127.623,1351.08,408.463,,210.594,90.118,157.19,293.421,98.488,159.76,194.64,175.384,191.29,197.944,111.182,,
2001-11-24 06:15:00,168.254,53.673,212.9,126.943,1350.32,404.89,104.045,212.58,88.27,155.3,293.621,100.754,158.36,193.35,174.836,191.23,195.928,107.138,,
2001-11-24 06:20:00,169.43,51.73,210.033,126.39,1357.24,408.72,,212.104,87.226,157.513,293.923,98.354,158.84,191.852,171.83,185.926,194.312,105.866,,
2001-11-24 06:25:00,170.186,51.0,213.733,125.47,1351.62,408.47,,212.368,86.92,156.89,293.053,96.858,157.54,189.556,171.338,183.84,189.874,107.244,,
2001-11-24 06:30:00,170.106,52.797,212.667,127.993,1351.94,407.95,104.475,212.216,87.29,158.117,290.118,97.713,156.54,188.266,171.506,185.74,190.648,106.754,,
2001-11-24 06:35:00,169.324,51.49,212.533,127.537,1358.08,411.483,,211.156,87.174,154.814,285.9,96.21,157.7,186.798,172.248,184.532,190.403,106.868,,
2001-11-24 06:40:00,171.706,52.1,211.2,127.503,1355.66,409.25,,210.644,89.5,157.663,286.134,97.952,157.66,188.172,172.054,186.728,,108.358,,
2001-11-24 06:45:00,170.574,53.2,209.233,128.08,1357.42,411.313,103.952,208.324,88.844,157.697,287.248,98.115,156.88,188.784,170.794,189.96,192.52,107.314,,
2001-11-24 06:50:00,170.532,53.027,209.0,126.067,1363.32,406.157,,209.816,87.49,156.414,288.688,96.5,158.02,191.026,171.208,187.078,192.998,108.13,,
2001-11-24 06:55:00,170.814,52.79,209.5,126.85,1362.18,409.227,,207.848,86.038,156.073,283.797,95.648,155.38,190.89,169.798,185.252,190.124,107.934,,
2001-11-24 07:00:00,171.762,52.41,211.6,126.967,1370.1,409.787,104.257,208.778,87.824,154.553,283.333,95.097,157.54,187.722,171.806,186.948,189.844,107.406,,
2001-11-24 07:05:00,172.454,52.763,210.633,127.177,1363.46,409.857,,208.576,88.094,155.96,281.459,96.281,157.9,188.622,172.572,189.198,192.048,107.008,,
2001-11-24 07:10:00,170.486,53.61,208.567,129.413,1364.96,411.887,,209.578,88.476,157.003,286.224,96.048,156.52,188.088,171.872,189.66,190.96,108.31,,
2001-11-24 07:15:00,171.782,54.223,211.867,126.94,1372.36,410.92,103.396,212.382,86.618,157.717,286.15,96.722,156.16,190.0,169.414,192.138,193.798,109.302,,
2001-11-24 07:20:00,170.892,53.54,211.1,127.337,1369.94,406.653,,210.946,87.692,159.01,285.955,94.879,159.38,188.522,170.648,193.028,190.28,109.556,,
2001-11-24 07:25:00,170.878,52.533,210.967,127.69,1361.08,404.04,,210.112,86.126,156.457,287.633,97.254,156.38,192.76,169.556,189.12,189.14,108.698,,
2001-11-24 07:30:00,169.922,53.04,210.567,126.27,1354.9,403.683,103.746,211.398,88.542,157.323,284.694,97.632,156.46,190.17,172.024,189.842,191.52,108.982,,
2001-11-24 07:35:00,168.924,51.67,209.633,127.443,1356.42,403.127,,207.868,87.06,157.73,286.803,97.038,157.72,190.276,170.29,189.242,194.296,109.052,,
2001-11-24 07:40:00,169.786,53.19,209.733,127.883,1358.34,407.763,,208.478,87.478,156.557,287.407,95.994,157.44,189.916,172.642,192.392,193.68,110.072,,
2001-11-24 07:45:00,167.804,53.593,212.533,125.95,1366.26,407.613,104.213,210.558,88.122,157.943,286.508,96.341,158.88,189.496,170.28,191.106,192.088,109.788,,
