DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2003-05-29 13:25:00,165.686,52.287,205.033,122.333,1317.14,401.437,101.05895041666678,203.854,85.732,151.73,285.409,94.234,155.34,193.424,169.448,189.432,191.49,109.768,42.996,251.232
2003-05-29 13:30:00,166.292,53.753,204.433,122.15,1321.6,399.443,100.603,201.33,86.706,150.913,285.966,94.659,154.18,191.264,172.348,187.746,189.406,107.616,43.326,251.318
2003-05-29 13:35:00,168.312,54.687,206.0,122.52,1319.5,396.813,101.08978875000003,202.52,87.564,152.813,284.074,94.358,156.5,190.196,172.102,191.336,191.664,111.012,42.458,248.17
2003-05-29 13:40:00,165.58,52.13,202.867,123.293,1320.34,400.427,101.13824708333341,202.442,85.982,150.18,281.496,94.067,155.14,188.958,170.186,189.064,190.544,110.16,42.976,252.62
2003-05-29 13:45:00,167.57,52.39,204.733,123.157,1316.3,398.707,100.279,200.82,85.06,151.763,285.531,95.218,153.86,190.846,170.044,188.782,190.198,110.458,43.034,251.302
2003-05-29 13:50:00,167.93,53.84,205.033,123.883,1318.74,397.283,101.09375375000003,202.85,86.406,150.55,280.721,94.989,154.74,190.554,169.798,189.93,191.516,109.94,43.626,250.178
2003-05-29 13:55:00,165.94,51.69,207.033,122.83,1312.0,404.78,101.01553291666674,202.982,86.686,151.933,283.187,94.6,156.82,191.212,171.834,188.914,191.118,110.532,43.226,251.48
2003-05-29 14:00:00,163.18,54.407,205.4,123.53,1315.32,400.007,100.965,203.134,87.752,149.627,282.151,95.507,156.18,192.468,170.794,188.37,191.482,109.72,43.1,251.248
2003-05-29 14:05:00,165.936,52.777,206.833,123.243,1324.44,399.62,101.19948958333336,204.644,86.06,152.85,283.095,93.931,153.74,192.114,172.152,188.942,189.702,110.124,42.858,252.146
2003-05-29 14:10:00,163.992,52.94,206.3,123.523,1316.38,399.57,101.0502841666667,200.984,86.646,151.137,287.035,96.252,155.22,189.564,170.458,188.18,191.814,110.458,44.148,253.132
