DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,KERG,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,TERA
2003-10-29 01:10:00,161.682,51.53,205.333,119.553,1319.74,394.93,,200.1,84.946,152.617,198.175,291.893,98.992,155.88,196.222,174.666,191.754,193.538,109.684,46.534,263.344,103.422
2003-10-29 01:15:00,162.184,51.157,205.3,121.207,1308.3,398.09,101.338,198.022,85.39,150.69,198.214,293.295,96.849,155.16,194.822,173.456,191.782,192.536,111.186,46.61,263.576,103.713
2003-10-29 01:20:00,161.018,50.907,204.767,120.297,1318.14,392.087,,201.482,86.402,152.19,196.205,293.354,95.153,155.38,192.848,176.01,191.69,193.554,109.794,46.05,263.256,102.701
2003-10-29 01:25:00,162.046,51.397,201.267,120.99,1313.4,391.703,,201.546,86.156,152.61,196.206,291.463,95.543,156.2,193.856,173.466,190.17,192.996,110.684,46.816,261.13,100.84
2003-10-29 01:30:00,161.394,52.117,205.167,119.607,1322.9,395.687,101.736,200.062,85.722,152.683,197.715,291.362,96.526,154.22,194.714,173.31,191.104,192.164,110.336,45.952,261.708,104.253
2003-10-29 01:35:00,163.62,53.207,204.067,121.293,1318.46,395.85,,201.59,86.584,152.123,197.383,293.204,97.339,155.26,193.974,174.368,190.4,191.47,111.5,46.462,261.644,102.06
2003-10-29 01:40:00,160.634,52.19,201.5,121.99,1319.68,396.323,,203.752,85.742,153.81,197.217,291.092,98.148,154.8,193.336,172.928,188.77,191.576,111.124,46.672,260.798,103.865
2003-10-29 01:45:00,162.078,52.52,203.633,120.48,1321.04,398.063,99.831,201.564,85.452,153.217,196.424,288.509,97.427,156.02,191.858,172.068,188.82,192.258,110.958,46.512,261.936,102.371
2003-10-29 01:50:00,159.272,51.01,203.0,122.893,1317.1,397.533,,201.02,86.172,152.407,195.673,291.15,95.465,154.78,194.548,173.824,189.342,190.946,111.158,46.444,260.882,104.307
2003-10-29 01:55:00,161.758,51.173,200.133,120.617,1316.84,396.687,,199.94,86.648,149.973,197.937,291.737,95.948,155.0,192.666,173.062,188.396,191.434,109.854,46.144,261.088,104.229
2003-10-29 02:00:00,162.274,52.65,203.867,121.293,1312.76,395.98,101.615,202.23,85.214,151.447,196.664,290.629,96.686,156.82,192.714,173.166,188.138,191.66,110.036,46.172,261.83,103.136
2003-10-29 02:05:00,160.784,52.027,204.3,121.34,1314.58,397.017,,197.058,85.616,152.323,194.768,285.484,96.427,156.0,194.792,174.406,188.924,192.072,111.238,46.016,261.12,102.341
2003-10-29 02:10:00,160.944,51.653,204.567,120.913,1320.52,398.174,,200.304,86.95,153.626,198.723,289.853,95.337,157.04,191.572,172.93,188.502,191.086,109.79,46.138,262.38,103.325
2003-10-29 02:15:00,160.094,53.023,203.9,118.933,1316.38,395.363,99.986,201.734,85.256,151.69,197.281,289.085,97.769,157.42,191.124,171.874,191.886,191.238,109.178,46.518,262.764,102.706
2003-10-29 02:20:00,162.712,53.32,202.767,120.46,1316.44,396.66,,199.738,85.808,150.99,196.463,292.835,96.479,156.14,192.83,173.134,188.192,193.332,109.978,46.402,260.316,102.629
2003-10-29 02:25:00,163.258,53.21,205.067,119.857,1313.08,394.25,,199.26,87.414,153.287,196.463,288.674,95.346,155.52,193.65,173.132,191.192,191.464,109.86,46.0,263.282,104.155
2003-10-29 02:30:00,162.392,52.897,203.6,120.62,1323.64,390.063,100.991,199.956,85.336,150.957,196.791,289.677,98.099,154.7,191.638,174.504,189.192,194.112,110.532,46.84,261.578,102.242
2003-10-29 02:35:00,162.248,52.843,201.133,120.677,1319.78,394.487,,200.736,85.094,154.553,195.543,290.607,96.582,153.74,192.582,172.49,191.67,192.828,110.456,46.086,260.798,103.015
2003-10-29 02:40:00,160.446,52.093,202.867,120.433,1319.06,394.33,,198.792,84.51,151.313,198.219,287.507,95.773,155.66,193.466,173.476,187.858,192.012,109.916,45.8,261.582,103.325
2003-10-29 02:45:00,164.124,51.19,203.033,120.86,1324.26,396.92,100.346,198.678,84.598,154.28,196.525,288.534,95.767,156.9,193.852,171.516,189.666,191.382,109.06,45.232,262.588,104.562
