DATETIME,ATHN,MXCO,ROME,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2004-11-07 13:25:00,54.44,218.367,131.65,431.593,,215.45,95.918,159.686,308.561,103.918,169.0,208.312,187.096,206.492,207.346,120.092,151.448,292.796
2004-11-07 13:30:00,55.273,217.233,130.543,432.933,,217.73,94.078,163.68,308.751,104.046,167.44,210.436,188.05,206.72,208.622,118.186,152.666,296.062
2004-11-07 13:35:00,53.563,218.133,129.713,439.013,,220.23,94.02,160.84,308.19,102.455,169.96,210.474,186.208,205.244,208.372,119.714,152.42,292.344
2004-11-07 13:40:00,55.123,218.6,129.66,435.557,,217.582,95.022,161.813,307.054,102.049,169.54,209.08,185.208,206.294,207.674,117.608,151.592,293.102
2004-11-07 13:45:00,54.397,218.067,129.477,434.32,,221.254,95.294,160.517,310.909,103.594,171.24,207.156,185.542,205.36,205.5,118.214,151.304,295.23
2004-11-07 13:50:00,55.507,218.3,128.053,433.997,,219.684,94.638,162.29,307.932,103.353,167.9,208.8,186.572,206.758,209.83,119.734,150.738,297.038
2004-11-07 13:55:00,54.633,218.0,130.41,434.85,,218.506,94.008,158.94,310.454,102.612,169.98,207.178,185.286,206.016,206.338,118.616,153.678,294.04
2004-11-07 14:00:00,54.603,219.7,129.673,434.383,,219.3,94.66,164.163,308.246,105.355,169.0,207.99,185.078,204.738,207.34,118.308,151.768,292.536
2004-11-07 14:05:00,53.19,218.833,129.037,432.563,,217.818,92.89,162.82,311.382,103.362,169.68,207.98,185.846,208.064,209.12,118.45,152.092,295.088
2004-11-07 14:10:00,56.24,218.133,129.233,435.513,,219.28,95.636,162.08,311.732,103.912,168.66,207.198,185.498,205.082,207.556,119.748,152.038,294.08
2004-11-07 14:15:00,54.87,217.633,130.96,437.147,,219.698,94.252,163.683,308.035,103.942,169.74,209.342,185.264,207.29,208.97,119.442,152.532,293.518
2004-11-07 14:20:00,54.873,216.333,130.713,436.043,,220.4,92.682,161.9,307.825,103.078,169.76,208.598,185.232,208.206,206.902,119.144,151.646,294.232
2004-11-07 14:25:00,54.28,216.8,129.21,434.403,,219.508,94.636,160.593,308.161,103.026,167.66,207.442,186.242,207.21,208.326,117.968,151.504,295.272
2004-11-07 14:30:00,54.023,216.967,131.577,435.693,,221.114,94.652,162.74,310.91,103.589,168.94,206.866,184.296,208.822,207.712,118.32,152.508,296.384
2004-11-07 14:35:00,54.683,216.833,130.637,437.95,,219.074,95.302,160.823,312.729,103.635,168.36,208.436,187.256,209.048,207.398,117.686,150.734,292.254
