DATETIME,ATHN,MXCO,ROME,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2004-11-09 13:45:00,54.86,214.3,129.933,415.89,107.121,207.0,91.75,151.887,295.598,99.54,159.34,198.382,177.55,195.984,200.356,113.686,141.148,274.392
2004-11-09 13:50:00,53.96,212.933,127.73,418.167,106.86326375000004,205.662,91.604,153.183,296.631,98.458,161.52,198.294,180.996,200.402,199.948,113.224,141.468,276.724
2004-11-09 13:55:00,54.627,213.867,128.85,415.567,107.25468875000017,211.506,91.074,155.613,296.984,97.186,162.56,200.188,177.218,198.332,198.344,112.002,142.484,275.592
2004-11-09 14:00:00,54.043,212.467,127.49,421.083,106.016,207.348,91.74,155.333,297.146,99.472,160.36,199.734,178.132,200.062,201.536,113.562,140.362,277.884
2004-11-09 14:05:00,54.17,211.867,129.813,420.26,106.47571333333332,208.946,91.152,153.847,295.405,101.2,160.28,199.898,177.52,198.776,198.51,114.09,140.676,274.6
2004-11-09 14:10:00,54.583,214.767,128.74,419.69,106.8671572916667,209.654,91.778,153.787,293.221,97.218,159.62,200.372,178.15,200.424,201.246,113.918,141.974,275.988
2004-11-09 14:15:00,53.927,212.4,127.053,416.017,107.268,206.772,91.724,153.97,299.172,98.352,160.4,200.45,178.984,200.418,197.91,111.8,140.958,275.448
2004-11-09 14:20:00,54.717,215.967,128.677,417.733,106.9951437500001,209.762,90.724,155.773,293.342,97.948,162.14,199.43,179.014,199.108,197.67,113.284,141.64,274.724
2004-11-09 14:25:00,55.14,214.867,128.557,420.093,106.7422920833334,206.862,92.684,154.61,298.024,97.849,159.44,200.624,178.908,198.81,199.804,113.038,141.446,277.18
2004-11-09 14:30:00,55.033,214.467,129.097,419.203,107.359,209.408,92.462,156.45,294.147,100.293,161.62,199.834,176.788,196.758,200.29,113.026,141.402,277.394
2004-11-09 14:35:00,54.1,214.733,128.883,415.453,107.13733104166677,210.262,92.378,154.28,298.322,95.818,161.1,198.662,177.532,197.482,200.654,112.644,140.226,275.354
2004-11-09 14:40:00,55.527,214.8,129.767,415.327,106.85100041666672,210.486,89.898,153.957,295.721,99.943,159.44,202.872,177.832,198.69,200.132,113.486,144.018,276.078
2004-11-09 14:45:00,53.037,213.2,129.643,417.42,105.87,206.938,91.06,158.023,298.185,99.893,160.42,200.15,180.422,198.306,199.3,113.286,141.994,276.26
2004-11-09 14:50:00,54.873,213.833,129.21,413.177,107.03165750000002,211.822,91.194,152.71,296.542,96.263,160.34,199.478,178.976,197.93,202.14,113.802,143.05,274.086
2004-11-09 14:55:00,55.33,211.9,128.227,415.037,106.81939166666675,210.266,91.378,153.693,293.437,98.983,159.78,202.356,180.092,198.878,200.274,114.838,141.178,275.554
