DATETIME,ESOI,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2005-01-17 23:00:00,166.79,210.267,147.117,1389.9,417.03,103.632,208.474,90.15,156.637,286.783,97.732,158.52,194.704,172.246,195.85,195.62,107.756,138.38,269.036
2005-01-17 23:05:00,165.882,211.067,147.963,1386.88,418.233,,209.114,90.532,157.24,288.065,97.55,159.42,191.896,173.476,193.95,194.148,109.388,137.252,268.266
2005-01-17 23:10:00,166.826,210.033,147.1,1394.6,421.217,,206.744,89.52,158.227,291.062,97.598,158.14,192.56,173.486,193.418,194.524,110.56,137.958,268.33
2005-01-17 23:15:00,166.216,212.967,145.23,1395.3,418.957,104.074,209.104,90.902,157.493,291.344,96.795,159.04,192.89,171.862,194.498,192.732,109.276,136.944,268.526
2005-01-17 23:20:00,165.21,211.467,147.403,1396.52,422.37,,208.866,89.974,157.18,288.173,98.261,158.7,193.636,173.496,193.694,197.446,109.948,139.172,267.674
2005-01-17 23:25:00,166.064,215.667,146.893,1393.68,424.27,,211.064,91.398,158.447,287.033,98.222,158.9,192.52,171.766,192.102,196.298,108.744,136.464,268.894
2005-01-17 23:30:00,166.102,210.5,148.26,1390.68,419.46,104.948,209.138,91.21,156.673,285.584,97.731,158.32,192.958,171.542,194.624,192.706,108.356,137.486,267.602
2005-01-17 23:35:00,163.108,211.333,147.643,1391.84,415.446,,209.996,90.34,158.07,281.616,99.663,159.72,191.07,174.04,193.482,193.032,109.69,138.2,269.518
2005-01-17 23:40:00,166.416,211.367,145.727,1380.6,419.94,,209.294,89.54,157.857,279.931,96.723,160.9,192.972,172.48,193.798,194.196,108.95,139.684,269.828
2005-01-17 23:45:00,166.99,212.067,148.007,1389.76,421.717,104.963,209.768,90.438,160.097,280.21,97.185,159.76,192.49,174.628,195.616,193.47,110.118,139.468,268.616
2005-01-17 23:50:00,165.426,209.967,149.07,1388.66,421.357,,211.222,88.36,159.647,281.334,97.64,160.22,192.886,173.238,194.752,193.136,109.45,138.09,267.234
2005-01-17 23:55:00,166.648,210.267,147.617,1386.54,423.81,,209.272,89.236,158.313,283.834,97.727,159.86,190.578,172.318,195.174,192.522,107.586,139.27,267.868
2005-01-18 00:00:00,165.648,211.833,148.853,1390.88,422.99,104.741,209.19,90.246,157.84,280.191,99.085,160.8,191.186,173.52,193.152,192.486,109.896,138.358,267.984
2005-01-18 00:05:00,165.804,211.7,145.397,1393.48,420.74,,210.222,90.262,159.283,284.375,97.852,161.44,188.902,173.81,189.902,193.146,108.498,137.072,268.3
2005-01-18 00:10:00,164.656,210.367,146.81,1389.02,420.92,,208.214,91.53,158.993,280.393,98.214,160.94,192.02,173.286,193.148,193.708,108.406,139.588,267.618
2005-01-18 00:15:00,166.788,210.467,146.223,1385.14,416.463,104.865,208.924,89.728,158.387,286.114,95.82,157.28,192.54,174.424,192.604,194.108,108.554,137.844,266.328
2005-01-18 00:20:00,166.278,211.833,145.83,1382.22,419.703,,207.344,89.626,158.46,286.842,95.345,158.16,191.61,173.198,193.79,193.658,108.524,137.624,268.154
2005-01-18 00:25:00,164.262,213.5,148.433,1385.8,418.357,,206.506,88.606,157.037,285.322,96.474,160.0,191.528,171.084,192.168,194.71,107.946,136.774,265.906
2005-01-18 00:30:00,166.118,213.733,147.687,1379.52,418.273,104.466,207.72,91.362,156.43,282.44,97.32,156.9,191.95,175.048,193.938,194.838,108.838,136.42,265.056
2005-01-18 00:35:00,165.516,212.267,145.753,1367.16,419.577,,203.592,89.394,155.643,284.375,96.814,155.94,191.458,173.296,192.672,194.026,109.72,136.186,262.658
2005-01-18 00:40:00,165.256,210.0,146.33,1370.28,418.627,,205.314,90.358,158.05,282.203,97.064,155.48,190.824,171.852,190.332,193.126,108.606,135.81,268.042
2005-01-18 00:45:00,164.69,213.5,145.123,1374.9,417.21,103.4,205.996,89.124,155.603,283.535,95.207,155.36,191.88,172.51,190.854,196.104,109.304,136.376,266.88
