DATETIME,ESOI,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2005-01-21 12:10:00,155.87,206.933,141.543,1391.26,403.8,102.38888541666654,203.944,87.32,153.76,280.398,94.621,156.36,188.874,167.802,187.246,186.81,107.908,136.674,265.774
2005-01-21 12:15:00,155.286,205.5,141.477,1390.92,405.857,101.856,203.17,86.478,154.24,277.409,95.657,155.96,185.318,170.47,186.55,185.72,108.75,137.596,263.014
2005-01-21 12:20:00,156.054,204.967,142.267,1389.94,405.497,102.56237333333338,205.508,88.302,156.803,277.823,96.587,155.98,186.954,167.93,188.91,189.052,107.126,135.584,264.948
2005-01-21 12:25:00,156.148,205.3,140.903,1394.34,403.18,102.21051166666672,204.782,88.274,152.503,277.532,95.706,156.78,188.482,167.77,185.76,187.898,108.756,137.258,266.022
2005-01-21 12:30:00,157.002,206.033,142.693,1386.06,403.56,103.266,204.566,87.074,153.033,276.255,97.346,155.74,186.918,169.284,189.168,188.312,106.68,137.12,265.388
2005-01-21 12:35:00,156.438,208.367,143.713,1388.22,406.033,102.73858375000009,203.79,87.856,153.85,275.893,95.589,155.6,185.568,167.538,188.18,188.754,108.556,134.904,265.074
2005-01-21 12:40:00,155.596,206.833,141.043,1395.4,405.197,102.36104437499996,204.048,86.898,155.53,278.08,95.817,156.38,186.244,169.054,184.372,189.184,107.472,137.342,264.578
2005-01-21 12:45:00,155.73,203.767,141.773,1389.9,406.72,102.544,205.6,87.192,154.31,279.129,95.272,156.22,185.816,168.992,188.524,190.046,107.756,138.094,263.876
2005-01-21 12:50:00,156.61,205.533,142.987,1397.22,404.53,102.72295708333337,204.568,87.174,153.22,278.733,96.032,156.36,187.246,169.016,187.074,187.428,107.806,137.296,266.672
2005-01-21 12:55:00,156.434,206.467,139.767,1394.82,403.63,102.27536499999988,204.874,87.432,153.327,278.892,94.332,157.16,186.906,167.718,187.632,189.608,109.364,137.584,265.682
2005-01-21 13:00:00,156.912,208.233,142.053,1391.5,405.347,102.393,203.682,87.834,155.643,281.396,95.726,155.58,187.314,169.286,188.314,190.75,108.638,138.512,263.914
2005-01-21 13:05:00,156.672,208.133,141.543,1387.08,401.937,102.48651416666664,205.566,88.474,153.537,278.38,97.292,154.64,188.036,168.444,187.544,189.178,107.274,137.224,266.296
2005-01-21 13:10:00,156.404,206.367,141.007,1386.98,403.283,102.41946312499996,204.96,87.886,156.13,279.407,96.492,156.0,187.29,166.11,188.252,188.454,107.114,136.12,263.83
2005-01-21 13:15:00,155.466,208.333,144.033,1399.22,403.233,102.875,204.132,88.224,156.11,280.133,95.363,157.62,188.068,169.598,188.206,189.742,107.306,137.012,267.042
2005-01-21 13:20:00,155.986,205.633,142.747,1393.16,402.85,102.66381395833314,205.488,86.888,155.517,279.876,95.561,155.56,188.694,166.756,188.254,186.208,107.846,136.97,265.784
2005-01-21 13:25:00,156.984,204.2,142.973,1391.04,403.2,102.82973770833331,205.882,86.686,155.21,277.179,95.21,158.14,185.872,170.148,189.86,186.308,108.854,137.14,268.77
2005-01-21 13:30:00,156.05,206.467,139.603,1393.84,403.29,102.62,204.988,89.016,153.587,278.883,95.63,154.52,189.296,168.26,188.92,188.392,107.62,137.056,264.968
2005-01-21 13:35:00,156.782,210.933,142.133,1396.86,403.157,102.46115999999995,205.542,88.216,154.707,278.882,96.121,156.5,186.932,168.682,188.528,190.59,108.18,138.19,264.676
2005-01-21 13:40:00,154.45,207.367,143.707,1391.94,403.263,102.62395708333335,204.132,88.018,154.867,278.386,95.077,156.56,188.796,167.492,189.372,188.508,106.848,138.352,263.856
2005-01-21 13:45:00,156.644,210.033,142.497,1389.22,402.653,102.361,202.388,88.818,154.96,275.818,95.03,154.72,187.308,168.23,188.596,189.882,108.342,137.356,265.542
2005-01-21 13:50:00,155.302,207.733,142.413,1393.4,400.753,102.49857375000002,204.292,89.436,154.353,278.686,96.544,157.36,187.196,166.462,190.614,189.846,107.556,138.566,265.564
2005-01-21 13:55:00,156.45,205.133,140.773,1390.36,402.94,102.40952291666662,204.478,88.008,155.27,278.97,96.092,156.38,186.676,167.538,192.666,191.216,107.31,137.228,265.98
2005-01-21 14:00:00,154.93,206.7,141.283,1403.08,404.357,101.949,203.542,88.132,157.297,280.347,96.08,155.18,187.664,167.144,190.402,188.39,108.278,136.164,267.852
2005-01-21 14:05:00,156.82,204.1,140.583,1399.0,403.873,102.52347166666668,205.428,88.518,153.887,279.921,95.72,156.18,187.608,167.826,189.542,189.046,106.36,136.872,266.182
2005-01-21 14:10:00,156.226,207.6,141.633,1390.84,404.117,102.4396718750001,206.204,88.566,152.763,278.06,95.458,156.74,188.98,169.748,189.672,190.45,107.676,137.226,264.126
2005-01-21 14:15:00,156.748,209.667,141.747,1405.86,400.33,102.478,204.046,88.228,154.65,278.951,96.287,155.9,187.722,168.404,190.732,190.576,107.648,133.646,263.616
2005-01-21 14:20:00,155.932,207.367,140.28,1389.84,400.993,102.48697270833335,206.354,87.668,155.64,277.148,97.368,155.82,187.524,165.638,191.26,190.432,108.104,136.84,266.998
2005-01-21 14:25:00,156.388,206.833,142.597,1394.1,406.004,102.69506833333337,205.282,89.16,155.263,280.739,95.206,156.94,186.514,168.984,191.774,190.22,110.212,136.966,264.888
2005-01-21 14:30:00,154.968,205.6,140.807,1400.4,401.51,102.487,204.262,88.42,156.01,279.276,94.657,155.06,190.478,168.286,191.528,187.844,108.118,137.546,265.634
2005-01-21 14:35:00,158.004,207.433,141.057,1393.68,402.293,102.41715520833333,204.196,87.858,154.24,280.873,96.395,156.18,187.892,169.754,189.622,189.316,108.444,137.032,264.96
2005-01-21 14:40:00,156.74,208.233,140.99,1390.62,399.58,102.39935229166659,203.954,87.266,155.503,280.292,95.734,157.58,187.622,166.574,189.986,189.396,108.254,135.256,265.158
2005-01-21 14:45:00,156.24,207.633,141.487,1396.6,403.083,102.166,202.328,88.12,156.867,280.389,97.534,157.9,188.494,168.228,188.658,189.0,107.036,137.414,263.806
2005-01-21 14:50:00,156.248,206.633,141.17,1401.42,402.443,102.38334666666653,205.138,89.002,154.447,278.744,96.454,153.58,188.64,168.706,189.826,191.546,107.482,136.118,266.588
2005-01-21 14:55:00,156.924,207.367,142.953,1395.14,403.987,102.66314708333346,202.654,89.42,154.98,278.949,95.214,155.88,187.882,168.4,190.096,190.984,107.102,136.4,263.344
2005-01-21 15:00:00,156.678,208.4,143.483,1396.3,404.737,103.864,203.982,87.606,155.927,279.438,96.578,157.4,188.176,169.14,191.99,190.326,108.582,134.792,261.542
2005-01-21 15:05:00,156.414,208.633,142.9,1381.58,401.393,102.55944708333327,203.686,87.736,154.324,279.187,96.132,156.7,188.52,167.68,192.572,188.24,109.63,136.824,264.072
2005-01-21 15:10:00,155.536,208.2,143.137,1400.32,399.56,102.58055208333325,204.478,90.816,157.913,276.452,96.282,155.3,189.99,168.626,193.006,192.47,108.626,135.854,263.844
2005-01-21 15:15:00,154.858,207.867,142.137,1395.82,402.737,102.476,201.886,90.262,156.803,280.313,97.119,154.36,188.606,168.44,193.054,189.912,108.448,136.916,261.948
