DATETIME,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2005-08-24 01:10:00,216.567,149.447,1404.12,439.05,,219.154,94.228,166.977,312.716,101.919,166.48,210.94,187.206,208.726,,120.248,152.254,295.206
2005-08-24 01:15:00,217.7,148.527,1411.58,438.763,109.232,219.122,94.778,165.72,312.844,102.424,167.02,207.532,185.826,207.178,,119.882,153.222,293.446
2005-08-24 01:20:00,219.4,149.76,1405.84,443.603,,217.356,95.254,166.343,314.079,102.876,170.66,207.558,187.78,207.192,,119.278,152.152,295.536
2005-08-24 01:25:00,215.533,149.597,1401.94,440.163,,219.306,94.006,165.31,312.649,101.018,165.1,209.722,185.686,207.156,,118.376,152.194,295.88
2005-08-24 01:30:00,218.133,150.85,1404.68,437.564,109.676,219.234,94.18,166.06,312.249,102.612,167.26,208.626,186.778,209.784,,120.25,152.06,295.606
2005-08-24 01:35:00,218.767,148.49,1402.48,440.733,,216.768,96.12,167.197,309.646,103.885,167.96,209.97,187.216,208.986,,119.732,153.038,296.128
2005-08-24 01:40:00,215.5,148.43,1409.32,438.863,,220.646,93.566,166.783,309.547,102.38,169.46,207.916,185.552,206.974,207.416,119.354,153.048,294.888
2005-08-24 01:45:00,216.4,149.06,1407.94,440.34,109.79,219.61,94.81,168.49,309.974,104.009,169.82,209.27,186.602,209.608,207.598,118.29,153.6,296.866
2005-08-24 01:50:00,215.933,152.43,1402.24,439.77,,219.31,94.616,165.597,312.378,104.116,168.88,210.148,185.638,206.824,209.702,118.65,152.59,295.71
2005-08-24 01:55:00,217.1,149.02,1402.84,439.187,,221.718,95.452,165.787,312.411,102.913,167.26,210.052,183.806,206.792,209.432,119.012,154.122,297.228
2005-08-24 02:00:00,216.233,149.41,1413.54,441.053,108.447,221.82,94.802,164.67,311.944,103.232,168.58,208.948,186.296,208.284,208.116,120.014,153.42,292.894
2005-08-24 02:05:00,217.033,149.52,1409.52,439.997,,221.142,94.412,165.767,310.908,103.516,168.68,211.876,186.17,206.186,207.584,118.148,153.36,294.412
2005-08-24 02:10:00,216.5,150.307,1401.38,439.783,,220.354,93.396,164.957,313.412,103.853,169.42,208.726,186.516,208.554,210.036,119.66,152.356,293.878
2005-08-24 02:15:00,217.8,151.357,1407.88,438.543,109.111,221.518,93.48,165.477,311.409,103.918,166.74,209.48,183.344,207.042,207.64,119.476,152.742,291.684
2005-08-24 02:20:00,221.0,151.24,1401.9,441.01,,219.216,93.91,166.136,311.704,103.994,170.84,209.11,186.56,207.608,207.018,119.096,152.562,295.696
2005-08-24 02:25:00,213.467,148.417,1408.44,445.627,,222.538,93.636,166.11,307.45,103.924,166.56,208.128,185.552,206.072,206.854,118.096,152.67,291.138
2005-08-24 02:30:00,217.067,151.677,1403.6,443.723,109.9,220.86,94.496,167.957,312.973,102.229,168.4,209.314,186.496,208.332,206.852,118.978,152.63,294.0
2005-08-24 02:35:00,218.1,150.153,1408.66,442.737,,220.684,94.46,166.61,311.201,103.369,167.36,210.808,186.132,209.314,209.672,119.88,151.644,294.37
2005-08-24 02:40:00,216.833,148.91,1401.46,442.647,,220.654,95.024,165.43,310.493,103.987,167.88,209.468,186.686,205.914,207.338,119.706,154.844,294.942
2005-08-24 02:45:00,216.867,150.607,1400.9,438.303,108.734,219.944,95.278,166.35,312.533,104.293,169.3,210.934,187.154,208.398,207.22,118.842,154.45,293.94
2005-08-24 02:50:00,215.033,148.213,1410.6,441.083,,220.034,93.632,167.337,315.501,102.195,169.06,206.916,186.6,208.056,208.834,119.8,153.926,296.186
2005-08-24 02:55:00,217.4,150.4,1412.66,439.013,,219.144,94.08,166.637,311.382,104.917,171.32,207.53,184.956,207.416,207.534,119.302,153.536,296.282
2005-08-24 03:00:00,216.3,150.303,1410.8,441.533,109.391,221.304,95.502,166.567,310.135,105.16,170.18,208.24,185.974,205.442,206.724,119.422,152.324,295.444
2005-08-24 03:05:00,219.867,149.827,1403.44,440.52,,222.678,93.964,168.17,311.04,103.025,169.6,207.81,186.08,206.266,206.682,119.584,151.702,296.162
2005-08-24 03:10:00,218.0,149.04,1405.14,440.263,,221.632,94.738,166.513,308.124,103.837,167.94,211.094,185.146,206.25,208.244,120.056,154.216,295.432
2005-08-24 03:15:00,219.7,148.29,1410.72,441.153,110.352,219.044,93.792,164.82,310.972,102.739,169.14,207.892,184.626,207.358,209.3,119.734,152.316,294.264
2005-08-24 03:20:00,216.9,149.763,1404.46,445.18,,220.858,94.632,164.853,310.235,103.415,167.66,210.24,186.366,206.032,206.798,119.868,152.726,293.018
2005-08-24 03:25:00,218.567,150.757,1399.98,442.403,,220.798,93.296,166.263,310.478,104.012,169.96,209.522,185.622,208.886,207.75,118.646,151.798,295.97
2005-08-24 03:30:00,217.1,147.47,1399.4,442.43,109.267,219.92,93.882,166.677,314.062,105.783,169.02,208.858,185.234,207.674,206.502,119.394,150.95,294.718
2005-08-24 03:35:00,219.167,148.203,1414.72,439.26,,223.082,94.498,165.673,309.674,105.104,168.22,209.814,184.406,208.098,207.454,118.8,152.478,294.606
2005-08-24 03:40:00,217.467,150.493,1412.7,444.73,,220.818,93.04,166.903,310.025,105.042,170.4,210.024,187.672,208.07,207.064,119.322,153.324,295.53
2005-08-24 03:45:00,217.467,150.027,1407.5,438.12,109.741,221.426,95.306,166.387,310.468,104.736,168.62,208.982,185.94,208.028,208.064,119.37,152.924,295.374
2005-08-24 03:50:00,215.833,149.617,1402.62,445.593,,218.926,94.02,166.15,308.095,104.776,166.86,207.992,184.174,205.194,205.376,118.906,152.33,294.426
2005-08-24 03:55:00,215.7,149.55,1399.88,443.307,,224.124,92.944,165.003,308.236,104.856,168.02,210.78,185.296,206.25,208.436,117.58,152.556,294.594
2005-08-24 04:00:00,213.867,151.047,1404.56,440.14,107.716,221.49,94.054,163.297,308.98,104.617,169.86,208.644,186.924,205.832,206.33,118.992,151.584,292.428
2005-08-24 04:05:00,216.3,150.69,1402.88,439.453,,222.454,93.384,166.167,310.514,103.23,167.84,206.622,187.838,207.086,206.308,119.822,152.758,292.112
2005-08-24 04:10:00,216.867,151.003,1400.46,440.563,,219.444,93.282,163.257,309.188,104.355,168.34,208.806,186.38,206.828,206.234,119.046,151.568,290.662
2005-08-24 04:15:00,213.333,149.303,1405.36,441.873,107.836,219.672,93.412,165.36,310.581,102.993,168.14,209.078,185.84,206.616,206.212,118.954,152.296,295.08
2005-08-24 04:20:00,216.133,149.103,1410.82,441.577,,221.686,92.316,163.737,307.67,104.636,169.9,208.986,186.878,208.384,206.502,119.498,152.952,295.79
2005-08-24 04:25:00,216.667,148.883,1402.74,442.193,,220.612,92.356,166.053,312.238,102.87,169.44,207.974,187.21,209.212,206.038,119.424,153.31,294.5
2005-08-24 04:30:00,217.967,149.693,1404.46,439.583,108.042,219.344,92.76,165.787,307.861,103.638,169.6,208.794,186.06,205.332,205.934,118.342,152.41,293.092
2005-08-24 04:35:00,214.967,149.577,1396.52,440.26,,219.626,93.55,166.373,311.235,102.684,170.08,208.274,187.572,206.49,206.022,119.214,150.678,293.554
2005-08-24 04:40:00,217.833,150.147,1405.28,444.553,,220.064,92.918,164.383,308.429,103.803,170.24,208.394,188.156,206.588,208.258,117.964,152.404,291.124
2005-08-24 04:45:00,214.8,150.493,1400.16,441.917,108.873,220.272,94.438,163.323,309.163,104.3,170.58,208.664,185.646,207.042,206.056,119.474,153.418,293.668
2005-08-24 04:50:00,211.2,148.68,1399.3,443.017,,222.5,94.088,164.06,310.375,103.749,170.68,211.24,185.582,207.51,204.752,119.182,151.388,293.954
2005-08-24 04:55:00,215.433,150.24,1403.5,440.827,,219.758,92.938,164.887,308.804,103.778,170.28,209.094,184.518,205.678,207.212,119.014,153.528,293.142
2005-08-24 05:00:00,215.833,150.06,1410.18,442.55,110.94,220.608,93.516,165.18,309.68,104.274,169.32,210.034,186.63,205.742,207.19,118.454,152.488,295.036
2005-08-24 05:05:00,214.7,151.593,1400.18,442.29,,220.324,93.432,168.467,311.849,103.277,168.98,208.56,186.852,205.71,207.614,120.104,152.604,293.552
2005-08-24 05:10:00,216.267,150.35,1407.14,443.19,,221.976,94.498,165.09,308.88,103.762,171.54,208.744,184.782,208.448,205.842,119.502,152.348,292.72
2005-08-24 05:15:00,213.567,150.317,1403.6,440.413,109.236,224.172,92.77,164.95,310.582,103.468,169.86,207.514,183.934,207.584,205.6,119.998,153.18,294.344
2005-08-24 05:20:00,213.867,148.23,1402.6,441.02,,221.272,93.366,168.28,311.022,104.26,167.62,209.648,186.338,206.424,206.398,120.072,151.244,295.412
2005-08-24 05:25:00,217.8,149.003,1402.9,444.687,,218.656,94.316,167.403,310.654,103.534,170.12,209.208,186.108,208.342,208.302,119.626,151.68,294.002
2005-08-24 05:30:00,216.867,150.003,1403.94,442.893,109.358,221.766,95.112,166.584,310.915,105.437,169.08,207.86,183.628,205.988,205.096,119.04,151.888,295.866
2005-08-24 05:35:00,214.567,150.457,1405.46,442.2,,220.51,95.106,168.754,311.188,104.352,169.58,207.966,184.894,206.744,206.678,119.252,152.072,293.658
2005-08-24 05:40:00,215.133,148.96,1406.08,436.793,,221.578,94.52,168.633,309.221,104.177,168.32,207.856,183.712,206.532,206.79,119.974,152.376,291.66
2005-08-24 05:45:00,217.467,150.543,1404.14,439.883,110.834,220.82,93.896,169.087,309.588,103.492,170.96,209.126,186.54,206.736,205.954,119.412,151.432,292.758
2005-08-24 05:50:00,213.633,148.92,1410.04,442.593,,221.868,95.076,167.277,310.388,104.77,169.32,209.548,186.474,209.66,205.142,119.318,152.774,293.904
2005-08-24 05:55:00,216.5,151.54,1407.3,440.993,,223.554,93.102,167.133,309.895,105.483,169.0,208.418,186.616,206.522,206.478,119.546,153.732,292.858
2005-08-24 06:00:00,215.467,150.93,1408.96,440.95,110.398,224.278,94.19,166.38,307.688,105.453,168.26,209.372,184.854,209.546,205.684,119.392,150.152,293.438
2005-08-24 06:05:00,216.367,149.01,1393.58,443.407,,221.45,93.546,167.233,311.088,105.1,168.44,209.002,184.726,207.644,207.086,119.236,151.756,291.274
2005-08-24 06:10:00,217.967,151.707,1397.26,444.153,,221.396,94.122,164.797,308.288,103.738,169.58,210.22,187.732,204.86,206.25,118.502,152.17,290.976
2005-08-24 06:15:00,219.033,149.757,1399.96,439.553,109.838,223.22,95.286,167.34,308.021,103.861,167.44,207.596,185.148,204.264,208.398,119.392,151.98,292.16
2005-08-24 06:20:00,216.667,148.717,1396.08,443.377,,220.736,95.352,165.933,310.7,103.338,166.02,206.654,186.298,204.598,206.366,118.04,153.004,295.184
2005-08-24 06:25:00,214.267,149.88,1401.4,440.7,,221.956,93.68,169.71,308.137,102.297,169.22,208.774,183.446,205.006,205.918,116.686,151.786,293.188
2005-08-24 06:30:00,215.9,150.233,1387.56,438.983,109.118,222.172,92.608,164.783,308.67,105.425,171.1,206.942,183.768,204.722,205.192,119.008,151.67,291.962
2005-08-24 06:35:00,214.167,150.993,1387.82,439.9,,221.974,92.436,165.563,307.788,104.303,168.68,207.43,184.746,205.774,206.212,116.43,151.788,291.084
2005-08-24 06:40:00,214.833,148.403,1394.48,440.947,,221.716,93.818,165.187,309.369,104.051,171.52,204.818,182.688,206.366,202.966,117.748,153.98,291.016
2005-08-24 06:45:00,215.033,151.503,1392.04,439.56,109.895,222.162,93.146,166.423,311.206,103.792,169.0,208.65,183.022,206.428,208.268,117.93,152.058,293.544
2005-08-24 06:50:00,213.733,150.527,1396.66,439.197,,222.308,93.332,167.707,309.803,103.1,168.9,205.474,186.126,206.01,206.318,118.664,151.754,292.304
2005-08-24 06:55:00,215.567,149.043,1399.42,439.42,,221.802,92.758,167.077,308.005,105.934,168.28,208.306,182.474,205.746,208.734,117.052,152.83,292.038
