DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2005-09-10 20:10:00,175.216,51.96155583333321,213.533,148.253,1370.96,434.263,107.60471958333332,214.238,92.272,296.185,102.135,164.32,202.434,178.764,204.428,200.738,115.368,142.974,278.516
2005-09-10 20:15:00,176.312,51.9600395833332,213.667,148.57,1371.18,429.227,108.064,210.918,91.904,299.437,99.653,164.5,202.18,179.18,203.398,202.664,115.522,143.024,279.408
2005-09-10 20:20:00,177.136,51.95907041666653,214.267,147.133,1371.3,429.08,107.40344333333346,215.558,93.134,295.601,101.073,163.36,202.576,177.894,203.922,203.082,114.926,144.19,276.888
2005-09-10 20:25:00,176.416,51.95380416666654,215.6,148.297,1372.08,433.177,107.56601208333345,214.906,92.184,297.119,100.092,164.08,203.73,179.88,202.758,203.062,118.136,143.216,279.06
2005-09-10 20:30:00,176.83,51.93391791666653,213.367,148.413,1382.28,427.207,107.709,213.386,92.802,298.453,101.499,163.58,202.838,179.062,203.826,202.376,115.598,143.538,279.448
2005-09-10 20:35:00,176.29,51.93391791666653,213.433,147.49,1375.36,430.76,107.53333291666681,216.154,91.814,298.536,100.162,163.46,204.922,180.786,201.31,201.348,115.072,145.15,278.258
2005-09-10 20:40:00,176.946,51.93391791666653,214.6,147.47,1377.1,429.12,107.41929666666678,209.952,90.984,299.171,98.729,164.88,203.38,181.212,203.236,200.858,115.626,142.968,280.018
2005-09-10 20:45:00,177.136,51.968563749999866,212.733,148.523,1367.02,427.373,107.217,213.992,90.998,296.635,99.878,164.8,205.862,180.246,203.042,202.472,115.908,142.464,281.232
2005-09-10 20:50:00,177.254,51.96155583333321,215.567,147.43,1370.88,426.15,107.5665920833334,214.928,92.364,295.769,99.16,162.7,201.804,179.848,204.066,200.51,115.774,143.844,279.362
2005-09-10 20:55:00,177.88,51.93391791666653,215.4,146.623,1375.92,430.797,107.53659625000012,212.196,91.572,295.836,98.652,164.6,203.594,178.18,204.274,199.344,115.686,143.304,278.246
2005-09-10 21:00:00,175.432,51.93391791666653,215.4,145.94,1378.48,428.73,107.42,210.772,92.204,296.953,102.244,164.6,203.266,181.16,203.188,201.75,115.604,144.252,279.824
2005-09-10 21:05:00,178.698,51.93391791666653,214.267,145.68,1378.02,430.013,107.19914083333353,209.826,93.04,298.587,99.477,162.2,200.736,178.848,202.806,200.038,115.396,145.66,277.58
2005-09-10 21:10:00,175.762,51.93391791666653,216.833,148.01,1377.9,427.33,107.4546120833334,215.338,92.526,298.804,100.281,163.94,204.716,180.576,202.792,202.436,116.47,145.324,280.884
2005-09-10 21:15:00,176.658,51.962713333333184,215.0,147.157,1370.52,426.813,107.624,210.462,92.262,297.169,100.888,163.7,205.866,180.734,201.308,200.646,116.76,142.478,279.892
2005-09-10 21:20:00,175.402,51.944304999999865,212.867,146.693,1374.72,430.417,107.50698958333346,212.232,92.514,296.902,98.642,164.84,204.988,180.55,204.594,199.654,115.964,143.772,280.004
2005-09-10 21:25:00,175.428,51.95810124999987,212.067,144.933,1371.6,427.223,107.46350500000004,213.538,92.508,298.77,100.411,163.34,204.838,179.918,200.466,200.424,115.608,143.916,279.672
2005-09-10 21:30:00,175.054,51.944304999999865,214.967,148.21,1374.88,428.83,107.676,211.872,93.24,298.388,98.674,163.5,204.016,180.676,202.164,203.396,115.89,144.916,278.69
2005-09-10 21:35:00,174.074,51.946563749999875,213.5,147.25,1372.86,428.967,107.52980000000008,212.768,92.094,298.004,100.599,164.24,201.482,178.46,202.374,205.098,116.324,143.352,280.818
2005-09-10 21:40:00,175.886,51.93391791666653,215.467,147.973,1375.74,430.637,107.6168208333334,211.48,91.482,298.137,99.187,164.32,201.988,179.426,204.194,202.604,115.386,144.354,282.194
2005-09-10 21:45:00,175.154,51.93391791666653,215.367,147.713,1381.6,425.304,107.613,213.704,92.722,297.053,100.6,163.72,203.128,179.958,204.172,200.762,114.82,144.432,278.984
2005-09-10 21:50:00,176.652,51.966949166666524,214.033,146.263,1365.3,429.457,107.47246166666659,215.46,93.242,297.72,99.567,165.88,205.784,179.354,201.802,200.89,116.386,144.614,280.162
2005-09-10 21:55:00,177.36,51.93391791666653,214.933,147.94,1380.02,429.304,107.34684708333343,210.822,89.902,297.668,98.348,162.74,202.758,180.218,202.632,201.02,116.886,144.224,278.688
2005-09-10 22:00:00,176.124,51.93391791666653,216.333,147.073,1378.02,429.667,107.33,214.61,91.186,300.153,101.142,162.74,203.47,180.214,202.56,201.224,115.564,144.844,279.106
2005-09-10 22:05:00,176.924,51.93391791666653,216.433,147.65,1377.82,431.963,107.49402875000011,212.748,91.918,298.086,100.189,164.36,203.38,183.69,202.276,203.102,115.388,143.836,278.014
2005-09-10 22:10:00,174.99,51.93391791666653,218.267,150.423,1376.42,431.33,107.56501250000002,215.54,92.006,301.82,99.314,165.88,203.332,180.38,200.31,201.756,116.414,142.768,279.596
2005-09-10 22:15:00,177.136,51.93391791666653,214.767,149.9,1376.62,424.08,107.819,214.54,93.574,297.986,99.47,163.2,203.058,177.36,203.36,201.64,117.57,142.758,279.844
2005-09-10 22:20:00,176.404,51.93391791666653,215.267,148.897,1377.28,429.083,107.58172750000006,213.898,92.912,299.159,99.68,163.64,203.888,181.408,202.028,203.36,115.51,144.864,280.318
2005-09-10 22:25:00,176.122,51.93391791666653,215.767,145.633,1377.22,430.57,107.5152916666668,215.69,92.404,298.072,100.026,164.26,201.682,180.418,202.056,200.478,114.226,143.694,281.22
2005-09-10 22:30:00,177.408,51.93391791666653,214.3,147.613,1380.82,430.393,107.073,214.184,92.148,299.376,100.99,164.62,204.244,179.274,202.018,201.256,115.52,144.642,281.022
2005-09-10 22:35:00,175.078,51.93391791666653,213.333,147.867,1378.88,428.644,107.51101583333329,215.114,91.414,295.429,102.02,163.98,202.83,180.296,202.072,201.364,116.674,143.884,279.91
2005-09-10 22:40:00,175.978,51.93391791666653,217.233,147.89,1386.78,429.65,107.52158291666669,212.444,93.42,298.256,100.481,163.96,203.742,178.126,204.08,201.69,115.334,143.514,277.892
2005-09-10 22:45:00,177.444,51.93391791666653,218.067,147.677,1385.6,430.12,107.412,217.138,92.33,297.469,101.63,163.58,203.378,181.006,199.752,202.09,115.542,144.902,280.808
2005-09-10 22:50:00,176.024,51.96155583333321,214.967,145.417,1371.04,428.57,107.48341458333336,212.622,92.322,300.246,101.406,162.76,205.784,180.932,201.832,201.044,115.822,145.196,280.472
2005-09-10 22:55:00,179.914,51.93391791666653,215.567,146.68,1378.6,429.003,107.49135208333333,215.498,93.2,298.79,101.823,162.9,202.898,180.376,203.31,201.062,115.744,143.988,278.394
2005-09-10 23:00:00,176.986,51.93391791666653,214.8,148.66,1376.44,431.707,107.456,213.582,91.824,299.526,101.858,163.76,204.268,182.1,203.466,202.16,114.094,144.894,278.682
2005-09-10 23:05:00,175.506,51.946563749999875,215.767,147.273,1372.76,432.187,107.57935083333335,213.854,92.512,300.443,99.186,165.7,202.578,179.234,202.006,202.104,115.272,143.964,280.896
2005-09-10 23:10:00,177.468,51.96155583333321,214.9,147.303,1371.08,430.447,107.45657708333347,213.292,93.132,299.222,101.696,163.76,204.7,180.38,201.278,200.642,115.626,145.21,283.026
2005-09-10 23:15:00,179.15,51.94261124999987,218.033,148.157,1375.24,429.063,107.252,214.262,91.362,304.209,102.626,164.52,203.156,178.872,201.414,203.81,115.95,144.752,278.16
2005-09-10 23:20:00,178.29,51.96832624999986,215.567,147.44,1367.96,431.237,107.51325833333348,213.868,92.93,297.87,100.144,164.34,203.618,181.328,200.202,200.344,115.284,143.374,278.424
2005-09-10 23:25:00,175.0,51.96674666666653,215.6,147.797,1369.2,431.23,107.57367833333339,212.456,91.33,298.919,100.486,163.7,201.486,180.244,203.22,202.83,115.476,144.326,280.128
