DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL
2006-12-14 09:10:00,177.682,56.743,217.867,152.5,1404.74,445.15,,96.39,169.766,318.672,107.038,173.32,209.514,187.722,212.522,205.684,119.622
2006-12-14 09:15:00,177.902,56.753,221.767,151.633,1407.84,445.144,110.397,97.166,170.583,315.481,107.101,173.4,209.414,188.572,209.154,208.576,120.386
2006-12-14 09:20:00,178.888,55.0,219.767,151.167,1413.46,445.7,,96.648,168.82,314.83,104.843,172.6,209.012,189.382,208.212,209.084,120.45
2006-12-14 09:25:00,178.152,55.65,220.8,152.723,1409.18,447.727,,97.046,170.83,318.62,104.149,172.8,209.026,189.522,212.078,208.074,120.392
2006-12-14 09:30:00,178.448,55.753,220.267,153.527,1404.18,448.66,109.211,96.648,169.857,317.281,106.332,172.36,208.064,187.644,210.732,210.542,120.32
2006-12-14 09:35:00,178.146,56.2,219.7,152.103,1407.72,446.297,,95.926,168.067,319.096,106.756,172.4,210.158,187.842,211.744,208.148,120.01
2006-12-14 09:40:00,179.916,56.083,218.967,151.83,1406.26,445.02,,96.364,170.367,320.558,106.609,173.72,209.546,186.168,208.986,207.874,120.858
2006-12-14 09:45:00,178.898,55.31,221.167,151.413,1400.78,447.43,110.059,94.952,169.43,317.702,106.508,170.94,210.99,188.624,211.8,207.482,118.42
2006-12-14 09:50:00,180.29,55.56,219.567,151.29,1410.78,443.75,,97.03,170.21,317.598,106.998,174.98,207.24,188.544,213.212,208.59,120.962
2006-12-14 09:55:00,178.33,56.403,219.9,153.07,1400.36,446.407,,95.448,171.87,316.394,106.911,174.82,208.324,188.934,212.002,210.556,119.404
2006-12-14 10:00:00,180.072,55.937,218.9,154.4,1404.04,446.287,111.202,96.644,169.37,316.149,105.899,172.84,209.85,189.94,210.188,209.214,120.452
2006-12-14 10:05:00,179.444,55.347,220.0,151.527,1406.82,445.403,,96.184,170.69,320.293,105.754,173.8,208.528,189.922,209.108,208.93,120.194
2006-12-14 10:10:00,178.266,55.49,219.033,153.093,1394.56,447.917,,97.584,167.94,319.468,106.027,174.18,210.204,188.498,211.072,209.874,119.484
2006-12-14 10:15:00,179.274,55.0,220.733,152.827,1399.64,446.474,110.169,97.432,170.15,321.527,106.856,172.58,210.096,189.944,210.56,208.334,119.87
2006-12-14 10:20:00,181.678,55.997,219.8,152.257,1403.6,449.153,,97.044,170.313,316.109,107.283,174.7,208.404,188.212,210.22,208.556,121.084
2006-12-14 10:25:00,178.632,55.187,217.833,152.097,1406.82,445.39,,95.278,169.3,315.481,105.441,174.06,208.862,188.736,209.444,209.394,120.47
2006-12-14 10:30:00,179.702,55.907,218.767,153.693,1401.88,441.547,110.741,96.206,169.963,320.2,105.894,173.12,208.048,187.552,210.916,208.822,121.244
2006-12-14 10:35:00,178.416,56.297,219.633,151.493,1410.22,447.47,,97.58,169.8,317.705,108.128,173.7,211.294,188.936,209.51,209.902,119.704
2006-12-14 10:40:00,178.564,55.723,217.533,153.393,1402.52,444.687,,95.638,170.9,317.078,106.222,175.16,208.338,191.48,212.05,208.682,119.876
2006-12-14 10:45:00,178.734,54.887,217.8,151.74,1388.26,445.32,110.577,97.44,167.203,320.145,108.221,173.78,209.814,187.234,210.714,210.694,120.846
2006-12-14 10:50:00,179.796,55.623,219.933,150.34,1397.48,447.317,,96.834,168.653,320.072,106.872,173.64,209.08,188.556,211.158,208.376,119.408
2006-12-14 10:55:00,177.954,55.633,221.233,151.87,1397.5,447.663,,96.822,171.46,318.66,106.237,174.42,209.542,189.082,209.96,209.32,120.602
