DATETIME,DJON,ESOI,ATHN,MXCO,ARNM,NANM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK3,IRKT,MCRL,MOSC,NEWK,MGDN,YKTK,KERG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,MRNY,TERA
2011-10-24 13:30:00,141.794,122.69,57.97,229.933,586.969,494.065,155.773,1425.64,108.236,161.926,378.624,458.367,430.8,213.8,53.76,247.094,97.534,180.73,217.333,229.887,107.553,176.272,219.506,195.772,221.31,217.14,125.054,150.156,307.32,123.006,116.643
2011-10-24 13:35:00,140.673,123.445,55.65,228.9,580.999,486.481,155.65,1426.28,107.396,161.331,374.701,459.567,428.8,214.4,51.954,246.26,96.892,181.754,217.12,228.167,107.882,176.784,218.68,194.682,218.802,219.442,125.056,150.542,306.35,124.734,118.297
2011-10-24 13:40:00,143.102,123.7,57.0,229.367,583.346,492.663,155.287,1424.42,107.696,163.278,380.137,457.93,430.4,213.6,53.524,246.298,97.43,182.932,217.973,226.674,108.985,176.574,219.462,194.096,215.07,220.024,124.31,152.236,305.23,123.838,118.11
2011-10-24 13:45:00,142.557,123.663,57.41,228.033,588.782,493.301,154.323,1423.62,108.612,162.816,378.582,464.76,426.4,216.6,52.416,246.69,96.164,181.488,216.027,229.212,108.255,176.992,218.22,193.852,216.844,222.492,123.92,150.88,305.192,125.76,117.19
2011-10-24 13:50:00,143.694,123.385,57.06,231.2,583.039,489.298,154.12,1424.96,109.336,163.45,376.849,460.483,428.4,215.4,52.542,249.46,96.568,182.216,219.36,224.669,109.491,177.25,218.64,194.13,219.144,217.172,125.274,149.218,304.044,123.702,116.409
2011-10-24 13:55:00,144.624,124.033,56.887,228.7,587.812,488.481,155.153,1424.0,107.802,162.027,379.824,460.6,426.2,215.6,52.242,245.188,97.41,183.768,218.0,227.178,108.64,177.848,218.298,193.828,215.076,221.664,126.314,149.424,308.094,125.204,117.469
2011-10-24 14:00:00,143.134,123.065,57.687,231.1,583.736,487.782,157.677,1413.24,109.21,162.93,377.027,464.113,427.8,211.4,52.24,248.406,95.942,180.894,218.373,225.912,108.715,178.438,221.152,192.936,217.78,221.498,124.246,150.052,305.832,123.774,117.33
2011-10-24 14:05:00,143.861,125.39,55.043,229.2,585.073,492.255,154.867,1417.74,109.18,162.032,378.239,461.173,430.4,212.8,52.722,249.044,97.008,180.24,216.933,226.359,107.849,176.696,220.644,193.582,218.128,222.874,124.09,150.85,307.69,123.048,116.316
2011-10-24 14:10:00,144.955,123.897,57.977,232.267,584.727,489.955,152.937,1426.98,108.654,161.509,381.466,459.453,427.6,214.6,52.236,247.41,96.836,183.666,217.253,227.176,109.267,175.892,219.884,190.214,219.84,215.696,123.702,151.308,305.606,121.78,116.711
2011-10-24 14:15:00,143.434,122.94,57.73,229.3,583.265,487.962,154.297,1422.76,108.916,162.576,377.492,460.65,430.2,214.2,53.03,244.758,98.4,180.896,217.44,226.569,107.768,175.704,220.018,196.234,215.622,218.18,124.698,151.374,304.26,123.592,116.233
2011-10-24 14:20:00,142.001,122.9,57.06,229.7,586.644,490.557,155.287,1420.1,108.086,163.217,380.305,460.927,430.8,213.0,53.17,244.992,97.47,180.854,218.827,226.397,108.295,176.292,219.976,194.698,216.432,221.422,125.4,151.88,305.412,123.514,117.516
2011-10-24 14:25:00,141.637,125.085,56.34,229.133,588.802,490.606,153.403,1413.78,107.856,163.565,377.33,462.603,428.8,214.0,53.698,247.862,97.684,180.7,218.027,228.145,108.217,176.088,219.872,194.294,214.854,216.078,124.488,150.47,305.602,124.34,117.621
2011-10-24 14:30:00,142.325,123.995,57.227,226.267,589.488,488.068,154.94,1420.24,107.288,164.362,380.813,459.413,428.6,214.6,51.766,244.78,97.266,183.144,217.893,225.842,106.659,176.886,219.862,193.694,219.268,217.156,124.426,149.76,305.478,122.538,116.476
2011-10-24 14:35:00,143.213,121.517,57.433,230.5,590.744,491.747,153.977,1427.94,107.614,161.722,382.591,459.4,425.0,213.2,52.904,246.954,96.938,183.31,215.547,228.1,107.578,175.936,219.97,193.668,216.952,219.16,123.862,150.606,304.314,124.834,117.644
2011-10-24 14:40:00,144.318,123.05,57.353,229.3,589.137,492.354,154.58,1421.22,107.99,163.759,378.415,459.0,427.8,215.2,52.152,245.5,98.016,182.246,218.8,228.1,106.817,175.236,220.596,192.078,219.628,217.454,124.066,150.576,306.846,123.086,117.433
2011-10-24 14:45:00,145.948,123.85,56.743,229.7,587.278,491.834,156.077,1421.8,108.47,162.266,375.18,462.08,432.0,214.2,52.988,245.828,97.76,183.376,218.48,228.855,107.394,176.246,220.602,193.394,218.696,218.298,125.18,150.968,307.006,124.868,118.589
2011-10-24 14:50:00,141.573,122.15,58.01,233.567,583.324,488.549,154.807,1413.8,108.258,161.901,380.477,457.437,427.8,213.2,51.532,243.46,97.344,180.158,217.147,229.102,107.571,176.814,219.378,195.132,216.302,215.974,124.686,150.96,304.794,124.432,117.224
2011-10-24 14:55:00,142.395,122.425,57.643,228.733,582.937,494.71,154.987,1416.7,107.404,161.702,377.993,461.207,428.8,215.8,52.825,243.184,96.98,182.468,217.733,225.277,108.163,178.458,219.354,192.74,218.434,222.386,123.86,149.758,306.47,122.198,118.03
2011-10-24 15:00:00,143.189,123.873,57.85,230.2,591.839,490.357,156.187,1414.34,105.552,163.096,376.019,462.193,427.4,211.4,52.106,244.89,97.082,181.778,218.72,226.905,109.679,177.454,219.56,192.486,218.068,219.382,125.516,151.608,304.994,123.45,117.387
2011-10-24 15:05:00,143.081,123.875,55.413,231.3,590.868,488.792,154.503,1424.48,107.176,161.912,381.321,461.81,427.8,216.6,52.54,247.106,97.35,181.222,219.093,225.651,109.444,176.948,218.15,192.588,216.3,219.622,124.036,151.768,307.662,125.406,117.62
2011-10-24 15:10:00,142.094,123.14,57.807,230.0,589.102,488.291,154.167,1415.04,109.612,162.884,378.198,462.263,429.0,213.0,53.18,245.336,97.788,183.062,218.64,227.067,107.503,174.746,217.836,192.542,217.56,218.234,123.356,150.604,305.752,123.94,116.826
2011-10-24 15:15:00,141.151,123.54,56.33,230.233,587.88,491.226,153.183,1422.9,106.502,163.657,379.134,455.47,428.4,215.0,53.07,243.354,99.054,181.156,217.147,228.18,107.778,175.788,217.202,193.092,218.35,221.262,123.626,151.428,307.574,123.238,117.55
2011-10-24 15:20:00,142.971,123.565,56.523,231.133,588.952,489.254,156.807,1414.02,105.24,163.129,376.148,462.393,426.8,216.4,52.816,247.458,98.834,182.078,217.813,226.673,107.963,173.654,221.192,194.054,217.504,221.114,125.612,150.408,304.508,123.596,117.982
2011-10-24 15:25:00,142.042,122.493,56.6,227.066,588.064,491.122,156.343,1410.1,106.53,161.596,376.122,455.447,427.4,217.0,52.968,246.294,98.046,181.958,219.92,225.682,106.249,177.178,219.428,192.512,216.452,218.978,124.916,151.268,309.434,124.29,116.486
2011-10-24 15:30:00,142.877,122.98,56.097,231.667,588.157,487.987,155.59,1419.58,106.168,161.989,381.842,462.807,428.0,215.6,51.962,245.964,97.572,182.792,218.293,227.962,108.121,176.156,219.566,194.08,217.492,218.902,125.414,150.81,306.47,122.618,117.409
2011-10-24 15:35:00,143.12,122.953,57.683,232.767,585.669,487.197,156.374,1419.36,109.654,164.143,377.96,460.397,428.4,211.8,53.11,245.844,96.148,183.128,220.907,224.095,110.264,175.646,218.406,194.82,217.216,219.518,124.366,151.37,305.286,123.218,116.099
2011-10-24 15:40:00,144.378,125.31,57.04,227.367,585.787,490.548,156.157,1428.1,107.042,161.729,378.494,460.89,429.2,214.0,52.136,245.616,96.044,182.6,219.413,227.968,110.421,177.03,220.654,194.208,219.252,219.056,125.208,152.182,309.03,124.212,116.39
2011-10-24 15:45:00,143.683,122.515,57.11,227.733,587.061,492.177,152.427,1420.14,107.448,163.169,378.699,461.21,428.6,214.8,52.94,247.396,97.16,180.5,217.227,229.697,107.544,173.508,218.628,192.834,218.48,220.206,126.212,149.734,307.632,124.46,118.228
2011-10-24 15:50:00,145.247,123.19,57.977,228.233,588.044,495.126,156.143,1418.3,105.784,165.032,378.986,457.047,431.4,217.8,52.302,245.428,97.748,181.918,219.174,226.821,108.534,177.078,219.632,192.588,217.992,219.568,124.816,151.518,307.008,122.214,115.733
2011-10-24 15:55:00,141.325,123.46,57.45,230.433,584.155,489.29,153.973,1418.16,107.938,162.465,380.774,458.083,429.8,214.2,53.12,244.474,96.544,179.658,219.92,230.899,110.968,176.99,218.53,191.12,217.778,216.63,125.478,150.19,307.552,122.482,117.748
2011-10-24 16:00:00,144.934,122.06,57.53,230.233,585.74,492.083,155.607,1420.66,108.528,162.039,382.4,459.5,429.6,213.2,51.89,244.836,96.946,179.77,219.467,228.466,105.91,177.452,217.89,195.412,218.294,218.286,125.062,151.212,307.264,124.064,118.826
2011-10-24 16:05:00,141.864,122.91,57.07,229.833,586.418,489.086,153.627,1422.14,106.776,161.841,377.586,459.933,428.8,213.8,51.714,246.168,96.32,178.2,218.827,229.617,106.944,174.83,219.07,193.686,220.104,217.652,124.728,151.172,306.382,123.71,115.379
2011-10-24 16:10:00,141.153,122.35,57.933,232.233,583.717,492.6,155.07,1414.32,106.958,162.456,379.738,458.96,429.8,211.8,52.702,246.64,97.946,178.446,217.574,228.283,108.103,175.904,218.616,192.978,218.906,216.11,125.59,151.838,306.382,123.036,117.513
2011-10-24 16:15:00,141.399,124.29,56.557,229.133,588.755,485.251,153.99,1410.48,107.756,160.733,377.034,459.25,430.0,211.8,51.9,242.14,97.068,180.78,216.667,226.719,107.477,175.872,219.658,193.804,216.55,223.366,124.82,151.72,308.206,124.216,119.131
2011-10-24 16:20:00,142.266,122.525,57.917,229.833,586.197,493.101,156.333,1421.3,107.266,163.702,379.18,461.19,428.4,212.0,52.956,247.15,97.336,180.236,218.507,227.613,108.162,175.656,220.324,194.284,219.078,221.874,124.956,150.786,306.366,123.416,116.728
2011-10-24 16:25:00,144.267,121.82,57.467,227.0,584.042,487.675,153.59,1422.34,108.132,161.634,375.063,461.427,425.8,212.4,51.818,248.822,98.956,178.022,216.826,227.906,107.922,175.544,218.006,193.734,221.114,219.898,124.852,150.4,303.518,122.878,116.879
2011-10-24 16:30:00,143.329,122.647,58.19,230.067,584.789,487.11,156.717,1415.86,107.29,162.161,381.679,457.667,427.8,213.6,53.508,245.962,97.512,180.44,217.947,226.504,108.485,177.88,220.368,191.03,217.42,221.48,125.048,150.768,309.064,125.326,119.06
2011-10-24 16:35:00,143.074,123.56,56.757,228.333,584.89,487.461,153.017,1425.74,106.756,162.207,376.172,459.563,427.8,215.8,52.316,244.848,97.362,181.78,217.653,228.275,106.875,176.334,219.668,191.258,217.674,222.468,123.21,149.686,306.778,124.5,117.676
2011-10-24 16:40:00,143.445,123.157,58.203,229.867,589.01,486.545,153.753,1418.96,108.52,162.051,379.167,457.753,423.4,213.0,52.534,245.92,97.29,178.348,218.693,227.379,109.147,175.876,220.074,194.408,216.684,220.916,124.692,150.752,306.576,121.938,116.855
2011-10-24 16:45:00,146.169,121.33,56.863,230.167,582.568,491.865,156.323,1418.02,108.954,165.328,377.869,457.507,426.4,213.0,53.232,245.812,96.95,181.082,220.107,229.639,107.359,177.886,218.958,194.662,218.144,218.714,123.128,151.842,304.83,123.33,117.302
2011-10-24 16:50:00,143.328,122.445,56.34,230.133,587.992,486.393,152.617,1418.36,106.146,162.667,380.55,460.757,426.0,214.0,50.988,244.958,97.912,182.136,219.227,227.693,109.386,176.204,217.816,193.984,216.458,217.376,125.734,150.062,308.416,123.276,117.231
2011-10-24 16:55:00,143.595,122.473,56.05,230.133,586.397,491.76,155.323,1414.32,108.124,163.331,381.984,459.053,428.0,213.0,53.032,247.9,96.876,179.508,217.733,228.635,109.301,178.546,221.336,193.858,217.674,219.526,124.718,152.338,307.898,123.426,118.615
2011-10-24 17:00:00,151.246,122.775,56.69,228.967,586.424,485.123,156.537,1423.24,107.642,161.164,378.438,460.83,427.0,213.0,51.792,246.394,97.872,180.106,216.96,227.203,105.379,175.136,220.318,192.316,219.408,221.444,125.304,150.996,308.044,124.024,118.38
2011-10-24 17:05:00,142.515,122.523,56.083,228.4,583.981,487.728,154.676,1418.66,107.248,160.414,375.587,459.447,425.8,213.8,53.516,244.296,97.404,179.934,217.92,225.59,109.274,174.702,218.282,195.268,218.882,222.108,124.502,151.448,307.794,124.054,115.962
2011-10-24 17:10:00,142.169,121.675,56.95,228.867,588.615,487.475,155.083,1411.48,107.518,162.69,378.6,459.327,424.6,213.2,51.692,242.618,97.26,179.722,218.373,228.274,107.163,176.288,217.718,194.176,218.762,218.26,124.636,150.52,304.624,122.622,116.899
