DATETIME,DJON,ATHN,MXCO,ARNM,NANM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK3,IRKT,MCRL,MOSC,NEWK,KIEL,KIEL2,YKTK,KERG,OULU,APTY,NRLK,TXBY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,TERA
2012-03-08 06:00:00,140.277,54.24,221.6,543.469,770.121,150.187,1379.04,101.832,154.665,358.886,440.848,411.8,203.2,47.776,239.054,93.068,165.43,170.324,205.946,219.965,103.367,166.756,121.2,96.88,207.218,185.034,206.296,209.054,117.434,141.832,289.544,111.819
2012-03-08 06:05:00,141.864,57.293,220.667,541.364,775.077,151.777,1382.12,102.582,153.957,357.835,438.371,411.0,202.8,48.566,240.448,92.66,166.32,172.082,209.067,218.427,103.092,166.3,122.2,96.56,205.494,186.14,204.462,207.172,116.854,142.07,288.47,113.152
2012-03-08 06:10:00,142.014,56.37,222.567,545.582,773.487,151.027,1376.7,102.438,155.259,357.66,445.572,414.2,203.4,48.828,240.85,93.038,165.68,170.758,208.533,219.623,104.656,168.614,123.6,95.04,206.512,185.546,205.61,208.804,116.636,142.098,288.184,111.88
2012-03-08 06:15:00,140.277,55.85,224.1,543.368,769.766,148.553,1372.98,100.346,154.035,359.143,441.016,411.8,204.4,49.193,237.83,93.396,165.787,170.704,209.893,216.575,101.653,167.804,124.0,97.387,205.798,186.892,206.022,205.516,117.788,141.024,287.646,112.382
2012-03-08 06:20:00,142.434,56.667,220.933,547.127,775.232,151.207,1385.44,101.668,154.149,355.357,441.588,415.4,205.6,48.542,239.59,92.216,164.657,170.434,209.76,218.592,103.095,169.118,124.0,96.56,206.046,186.294,205.082,204.696,118.364,142.938,290.258,111.501
2012-03-08 06:25:00,140.606,56.303,219.6,546.428,772.684,150.54,1375.18,101.978,154.012,358.426,443.064,411.0,206.4,47.93,239.254,92.992,163.943,170.038,208.107,218.405,102.603,168.13,122.0,96.053,205.348,186.258,205.918,206.248,117.122,141.14,286.996,111.872
2012-03-08 06:30:00,139.192,55.573,222.633,546.26,771.17,151.026,1374.36,102.002,153.543,357.477,439.187,411.4,203.8,49.837,240.922,92.834,165.133,170.778,208.347,218.525,103.246,169.19,124.0,95.653,208.502,185.32,205.54,205.086,117.562,141.864,287.66,113.537
2012-03-08 06:35:00,141.599,55.327,220.233,543.733,772.006,148.977,1371.98,100.746,152.092,358.033,438.942,409.4,205.0,48.312,242.848,93.494,164.633,170.078,207.413,218.168,103.068,167.688,122.6,95.04,206.84,185.398,207.01,204.802,117.092,141.802,287.148,110.434
2012-03-08 06:40:00,141.626,55.217,219.767,545.587,770.488,150.227,1378.18,101.412,153.69,358.454,441.414,413.2,204.8,47.848,239.372,93.728,163.837,170.012,209.173,218.723,104.012,167.834,123.2,97.333,205.992,184.642,205.102,206.874,117.878,142.334,288.692,111.985
2012-03-08 06:45:00,141.265,55.62,222.9,544.596,764.232,151.247,1363.58,104.586,155.417,358.825,437.809,415.0,205.4,49.598,242.958,94.52,163.38,169.166,207.547,218.231,102.261,168.848,122.6,96.053,206.894,184.102,205.402,211.13,116.372,141.382,286.668,112.215
2012-03-08 06:50:00,140.989,55.99,219.467,544.262,775.176,150.187,1371.2,102.568,154.199,358.207,441.821,408.8,205.4,49.676,239.81,93.44,166.18,170.446,206.613,219.988,101.955,169.256,122.0,94.987,207.036,183.668,205.416,206.942,117.576,141.184,287.65,112.585
2012-03-08 06:55:00,139.519,54.757,222.067,545.059,768.533,152.647,1373.7,101.344,154.987,356.861,436.169,411.6,207.6,49.006,240.848,93.886,167.447,174.144,207.493,217.786,102.554,169.672,123.2,95.92,207.718,185.652,202.654,206.522,116.784,141.052,289.026,111.542
2012-03-08 07:00:00,140.939,55.227,221.167,546.386,770.486,150.903,1380.8,101.376,153.338,355.466,436.894,412.4,204.6,48.49,240.938,91.742,163.653,168.92,208.24,216.629,104.598,166.868,125.0,96.24,206.942,186.186,205.424,206.858,116.22,141.752,289.834,111.171
2012-03-08 07:05:00,139.397,55.07,219.467,546.96,771.363,150.616,1370.24,101.482,151.825,355.839,442.958,411.2,205.4,49.584,242.11,93.828,163.62,168.9,207.787,219.033,103.389,168.584,125.2,95.547,206.432,183.252,204.054,206.594,116.204,142.324,288.93,110.266
2012-03-08 07:10:00,139.288,55.2,220.034,545.521,770.108,149.393,1375.94,100.294,154.664,358.249,437.169,412.2,205.8,48.375,240.028,92.112,162.897,169.506,209.627,217.874,102.473,167.978,123.8,96.72,206.76,186.856,205.364,208.654,116.508,141.642,288.908,113.136
2012-03-08 07:15:00,141.7,56.257,219.133,543.126,775.234,150.057,1377.98,102.212,152.507,357.319,436.753,412.0,203.0,49.472,239.242,91.374,165.66,172.172,207.707,218.654,104.299,168.038,122.2,95.573,206.144,186.642,207.696,206.988,116.912,140.558,287.642,111.606
2012-03-08 07:20:00,139.073,55.657,218.533,545.278,769.302,149.29,1379.56,101.358,152.779,355.591,442.232,410.8,205.4,48.916,240.716,91.566,164.097,170.6,208.08,219.71,103.592,168.55,122.2,95.787,207.208,183.752,205.906,208.232,116.468,141.208,289.162,112.294
2012-03-08 07:25:00,141.641,55.163,216.867,545.238,772.694,150.447,1380.7,101.966,153.896,357.009,440.125,412.6,204.0,48.422,243.274,93.248,164.22,169.782,207.973,218.529,102.896,164.862,125.6,97.253,207.554,186.2,205.408,205.292,117.008,140.986,288.894,112.683
2012-03-08 07:30:00,139.802,55.157,218.967,545.866,780.54,149.993,1381.42,100.118,154.203,358.202,439.55,411.8,202.2,49.416,240.376,92.59,164.097,170.392,207.787,218.024,101.733,167.056,122.4,96.507,209.106,188.356,204.768,207.356,115.986,142.476,288.398,112.541
2012-03-08 07:35:00,140.292,55.683,217.967,545.918,774.763,150.853,1376.8,101.352,154.353,355.518,440.939,411.6,207.8,49.208,239.682,93.136,164.85,171.594,208.267,216.996,102.066,168.644,123.8,97.013,204.364,186.432,204.934,210.628,117.174,141.378,289.092,112.424
2012-03-08 07:40:00,141.859,55.823,218.033,547.976,770.309,152.124,1384.24,100.782,155.084,359.003,439.463,411.2,205.6,49.93,240.732,91.548,166.874,174.16,210.854,217.735,102.793,168.782,121.8,96.347,207.18,186.104,206.032,206.822,118.154,142.432,288.164,113.493
2012-03-08 07:45:00,140.279,55.52,221.167,542.5,781.095,149.044,1384.52,100.902,153.212,356.752,440.617,412.2,203.6,50.026,239.376,93.552,165.413,172.212,208.533,220.69,102.206,167.012,122.6,95.813,205.25,186.332,205.394,205.804,116.056,141.43,290.856,113.981
2012-03-08 07:50:00,140.695,56.39,221.0,542.443,772.727,149.853,1385.66,102.272,154.316,356.472,440.329,414.0,205.6,49.416,244.092,92.58,162.747,168.54,208.347,216.532,102.274,166.256,124.8,94.48,205.658,188.256,206.306,207.346,117.546,142.482,289.766,113.466
2012-03-08 07:55:00,141.488,56.543,218.767,544.519,769.389,148.977,1380.16,102.282,152.869,357.214,440.734,414.4,203.6,47.678,239.502,92.334,164.523,171.332,210.507,220.298,101.831,166.976,124.4,96.88,205.662,186.85,205.384,207.746,117.228,141.83,287.72,112.064
2012-03-08 08:00:00,140.947,54.943,219.267,548.98,776.846,150.12,1387.46,101.636,153.855,360.093,442.362,409.8,202.6,49.272,244.144,92.148,165.197,171.876,206.933,219.071,102.519,167.858,125.0,96.693,204.8,186.626,206.562,207.808,117.56,142.788,288.424,112.293
2012-03-08 08:05:00,140.257,55.217,219.433,546.333,775.171,152.364,1392.5,100.374,153.47,361.402,445.422,413.2,205.8,49.072,241.418,93.526,165.407,171.784,206.693,219.788,103.097,169.7,122.2,97.413,204.86,186.746,205.588,207.664,116.23,141.752,285.894,110.56
2012-03-08 08:10:00,138.966,55.837,217.166,546.863,771.439,149.197,1393.12,101.658,155.309,356.876,444.414,409.4,208.8,48.803,243.946,91.66,165.063,171.516,206.853,218.528,103.374,168.55,122.8,97.52,205.1,186.464,207.326,206.32,115.912,140.426,286.668,111.375
2012-03-08 08:15:00,141.57,55.417,218.8,543.262,773.186,149.09,1385.24,102.1,153.574,355.787,440.276,410.4,206.2,48.886,240.724,93.804,165.567,171.078,207.84,216.72,103.605,167.86,126.6,97.867,206.396,187.992,206.304,207.964,116.936,142.688,287.798,112.774
2012-03-08 08:20:00,139.215,55.123,217.367,548.589,781.305,149.687,1392.48,103.32,153.148,357.225,440.817,414.8,205.4,50.018,240.866,91.554,166.383,172.328,208.693,219.028,102.12,167.602,121.2,97.413,206.426,186.386,206.904,208.812,116.756,139.872,287.24,114.014
2012-03-08 08:25:00,138.178,54.987,219.533,547.42,772.764,149.583,1393.18,100.714,154.403,355.168,440.396,413.6,207.2,48.9,239.746,93.084,164.687,172.538,206.187,217.532,101.895,168.34,123.6,97.467,205.502,184.574,204.022,208.578,116.942,141.852,288.478,112.891
2012-03-08 08:30:00,143.432,54.817,217.467,547.643,773.244,150.653,1397.2,102.614,153.799,358.732,442.314,415.8,206.8,48.744,244.086,93.18,165.603,172.172,208.427,219.185,101.399,167.786,125.4,96.64,202.406,185.496,205.502,206.608,116.216,140.584,286.484,111.766
2012-03-08 08:35:00,140.002,55.313,218.333,547.962,769.346,150.837,1396.94,100.948,155.017,360.961,439.74,413.2,205.2,48.394,240.088,90.81,164.83,171.754,206.747,218.579,103.657,168.28,122.2,96.107,206.11,184.876,206.056,207.364,117.146,140.032,284.73,111.481
2012-03-08 08:40:00,140.582,56.727,219.267,548.218,781.619,151.104,1387.86,102.606,153.483,357.314,440.465,412.8,206.4,49.422,241.468,92.582,163.237,169.702,207.413,216.679,102.732,166.268,123.4,97.333,205.808,184.292,204.886,208.388,116.588,140.614,286.878,111.267
2012-03-08 08:45:00,139.712,57.393,219.6,550.976,773.517,148.913,1385.16,103.394,152.925,359.785,440.107,411.0,204.6,48.71,240.754,91.628,164.56,169.804,208.08,216.403,104.324,167.694,123.2,97.653,204.298,183.334,204.492,205.952,117.198,139.346,285.752,113.09
