DATETIME,ESOI,ATHN,MXCO,NANM,CALM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK2,IRK3,IRKT,MCRL,MOSC,NEWK,KIEL,KIEL2,MGDN,YKTK,KERG,OULU,APTY,NRLK,TXBY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,MRNY,TERA
2012-07-14 13:05:00,95.49,59.157,221.167,481.038,71.638,153.493,1412.4,106.61,157.334,371.184,451.143,460.82,410.2,206.4,52.166,258.712,94.954,167.433,176.166,173.814,210.133,217.007,104.797,175.324,122.2,96.587,211.236,187.96,209.012,211.018,119.522,143.58,294.418,108.338,112.88
2012-07-14 13:10:00,94.715,58.903,223.767,485.75,72.708,151.487,1414.62,107.236,157.441,367.906,452.239,462.322,414.4,207.6,51.738,259.186,93.322,167.03,176.642,173.618,210.053,217.854,104.935,173.216,122.8,96.107,209.762,189.174,208.44,211.226,119.066,142.592,292.43,109.84,114.396
2012-07-14 13:15:00,95.64,57.647,225.567,484.791,72.633,152.597,1405.88,106.67,158.209,366.879,451.066,461.104,411.8,210.2,50.86,258.508,94.146,168.03,176.76,173.694,212.72,217.468,105.424,168.922,123.0,96.64,209.776,184.522,208.01,211.158,118.714,142.32,293.822,109.706,112.729
2012-07-14 13:20:00,95.697,58.317,227.4,485.781,71.785,152.633,1407.38,105.622,157.486,369.07,453.262,458.814,411.6,208.0,50.824,259.516,95.48,168.193,177.246,172.26,207.92,217.874,104.145,172.566,122.6,96.107,207.35,186.964,209.102,210.738,120.752,142.916,291.16,109.4,112.168
2012-07-14 13:25:00,95.105,58.317,223.133,486.935,71.476,152.943,1412.72,107.76,156.632,368.259,450.176,459.732,412.4,206.8,51.932,258.448,94.968,166.437,176.074,172.022,211.173,216.182,104.376,171.462,122.6,96.107,210.058,188.248,209.392,211.006,120.202,142.682,292.696,109.632,114.463
2012-07-14 13:30:00,95.973,57.8,222.633,485.851,71.886,152.527,1406.92,105.528,156.588,366.929,450.414,456.906,411.6,207.4,51.21,259.904,93.08,168.373,177.23,174.558,209.627,218.352,103.715,171.15,122.6,96.053,209.07,186.242,205.814,210.394,119.808,143.204,293.08,109.496,116.237
2012-07-14 13:35:00,95.26,56.85,225.667,486.069,71.67,151.387,1412.58,105.048,159.608,367.966,450.941,459.674,410.2,207.6,51.487,260.856,94.74,168.82,177.946,171.672,211.12,219.766,104.373,169.512,123.4,97.013,211.104,187.678,211.322,211.072,118.638,142.622,293.19,109.056,114.357
2012-07-14 13:40:00,96.12,58.477,224.9,488.013,71.436,151.617,1411.64,105.448,158.424,364.885,450.253,460.53,415.0,205.6,52.71,257.302,94.748,166.877,174.568,173.374,209.146,218.902,107.013,172.57,124.6,95.707,209.186,186.098,207.92,211.884,120.722,143.156,294.204,110.214,114.23
2012-07-14 13:45:00,93.963,57.527,221.8,483.379,70.483,153.84,1413.86,106.728,157.816,368.191,450.041,458.734,412.0,208.0,50.96,257.352,94.224,167.01,176.652,173.404,207.44,219.135,105.198,171.27,121.6,96.827,209.406,186.864,207.728,208.764,117.984,142.698,294.69,109.934,114.388
2012-07-14 13:50:00,94.5,57.587,219.633,486.359,69.301,153.15,1403.66,107.484,155.843,367.411,447.912,457.33,409.0,207.2,52.048,257.06,95.35,168.053,178.358,172.818,211.36,216.701,105.536,171.934,123.0,96.08,211.044,186.53,209.24,209.118,119.932,142.406,295.48,108.956,112.826
2012-07-14 13:55:00,95.293,56.513,223.033,485.677,71.467,152.54,1412.76,106.626,158.164,369.631,450.682,459.81,409.8,206.0,50.748,260.49,95.37,166.853,176.78,173.5,211.013,218.239,105.069,170.544,121.2,96.16,207.904,186.548,209.518,208.988,119.582,142.932,295.28,109.29,112.775
2012-07-14 14:00:00,96.905,56.82,226.2,480.667,72.29,151.61,1415.72,106.934,158.443,369.384,451.835,458.086,411.6,207.8,51.35,261.13,95.58,167.007,176.432,171.098,209.867,217.976,104.431,171.586,123.75,96.56,211.334,186.328,209.658,209.7,120.516,142.824,292.72,109.114,113.695
2012-07-14 14:05:00,92.91,56.643,223.233,483.254,70.445,153.293,1404.04,105.686,157.846,366.317,451.423,458.744,407.6,207.8,50.456,258.928,94.46,169.593,177.826,173.156,210.96,215.077,105.238,171.09,121.4,96.267,209.618,186.414,207.26,207.54,120.396,142.692,295.626,109.132,113.243
2012-07-14 14:10:00,94.98,58.143,221.5,481.256,70.527,153.023,1405.9,104.824,156.882,369.929,452.615,458.918,411.6,205.6,51.026,261.032,93.526,166.95,176.014,172.874,211.013,219.135,103.43,170.952,121.6,95.813,208.734,188.114,209.112,206.78,119.952,142.912,293.876,109.448,112.499
2012-07-14 14:15:00,94.05,57.537,223.6,482.756,71.736,151.657,1409.88,105.322,157.316,367.367,454.961,460.484,411.4,207.0,51.038,259.95,94.33,176.7,186.832,172.694,208.534,217.408,105.901,171.438,121.6,96.613,211.096,186.34,207.256,207.324,118.676,143.472,292.054,110.054,114.281
2012-07-14 14:20:00,94.903,58.363,222.7,484.214,71.349,151.343,1415.96,106.462,157.749,371.188,450.255,457.656,410.6,206.4,50.942,257.492,93.83,167.16,176.356,173.13,210.48,216.721,103.907,169.902,122.4,96.827,209.732,186.864,207.59,207.768,119.874,143.822,293.47,109.578,113.469
2012-07-14 14:25:00,95.04,58.227,224.8,484.136,71.291,152.963,1414.42,105.088,157.159,367.178,453.252,459.306,411.2,207.2,51.63,256.734,94.962,167.527,177.182,174.64,210.16,218.047,103.69,171.008,119.4,95.493,211.484,187.778,208.148,211.16,119.152,143.208,294.354,108.602,114.267
2012-07-14 14:30:00,94.21,58.63,224.9,488.12,71.288,150.76,1411.76,105.256,156.399,365.586,454.611,460.842,411.6,208.4,50.997,259.804,95.104,167.69,177.33,173.628,210.027,218.136,104.803,170.728,123.8,96.16,211.21,187.828,207.598,211.68,118.89,142.52,291.846,108.916,114.438
2012-07-14 14:35:00,95.647,58.79,221.867,483.252,72.026,149.997,1399.9,106.314,156.738,369.06,452.396,462.148,412.0,207.2,51.074,258.22,95.246,168.68,178.336,173.066,208.8,218.348,103.64,170.728,123.2,95.413,210.296,186.926,208.35,208.186,119.118,142.608,293.916,109.468,112.387
