DATETIME,TSMB,ATHN,MXCO,NANM,PTFM,CALM,ROME,AATB,HRMS,JUNG,JUNG1,LMKS,IRK2,IRK3,IRKT,DRBS,MCRL,NEWK,MGDN,YKTK,KERG,OULU,APTY,TXBY,FSMT,INVK,JBGO,NAIN,PWNK,THUL,MWSN,NEU3,SOPB,SOPO,DOMB,DOMC,TERA
2017-09-07 18:00:00,332.989,54.413,226.9,499.859,57.003,71.007,125.31,1418.42,122.499,161.733,378.805,473.114,374.31,425.4,182.8,108.916,53.825,99.16,181.65,222.72,229.742,108.885,178.336,104.827,221.096,198.496,273.756,217.748,221.362,122.354,234.911,1.177,151.976,308.16,5.388,20.07,118.076
2017-09-07 18:05:00,329.776,55.844,226.9,488.013,58.235,70.59,124.637,1420.5,122.652,163.164,379.866,471.357,372.38,431.2,181.8,110.687,53.963,97.592,180.064,226.56,228.879,109.836,176.049,103.28,221.67,198.282,276.148,217.398,226.566,127.234,238.329,0.999,153.2,311.418,5.328,20.494,119.044
2017-09-07 18:10:00,330.893,56.305,230.4,497.031,57.352,72.707,126.41,1417.62,121.478,162.803,383.554,472.976,374.566,427.0,183.2,110.013,54.4,98.848,182.102,228.027,230.446,109.371,176.088,103.013,221.598,198.836,268.884,216.428,222.644,125.386,233.665,0.975,152.048,312.058,5.113,21.075,118.264
2017-09-07 18:15:00,330.557,55.735,226.667,494.603,60.314,72.007,125.277,1424.28,122.864,163.103,381.857,472.928,370.546,424.6,183.4,109.997,52.857,97.96,184.656,226.773,228.338,107.074,176.697,103.653,222.414,199.588,272.984,215.708,220.312,124.59,234.314,0.955,151.484,312.862,5.687,20.757,119.398
2017-09-07 18:20:00,332.644,57.59,226.167,486.633,58.639,73.407,125.37,1421.72,121.94,161.665,379.052,474.686,376.096,426.4,183.4,111.117,53.05,99.282,184.404,227.653,229.573,109.363,174.817,104.48,224.932,199.666,273.752,220.982,221.722,125.4,234.926,0.995,151.682,309.874,5.307,20.354,118.712
2017-09-07 18:25:00,330.449,54.764,227.033,496.843,57.867,71.047,125.677,1429.36,122.978,160.816,377.572,474.376,373.978,425.0,182.8,113.143,53.057,97.002,182.54,224.427,230.231,108.491,178.724,103.867,220.328,199.486,277.898,215.822,223.076,125.546,234.557,0.956,152.852,310.316,5.449,20.383,118.642
2017-09-07 18:30:00,328.95,56.48,229.1,488.962,58.144,72.95,125.97,1422.92,123.091,161.419,380.075,475.752,374.19,426.6,183.0,113.11,53.81,99.882,183.37,226.32,230.463,107.695,176.572,104.933,222.464,198.924,272.75,217.394,220.126,125.816,235.04,0.986,152.24,311.934,5.169,19.897,117.817
2017-09-07 18:35:00,334.022,55.762,228.767,491.048,58.279,73.69,126.08,1421.46,123.989,161.692,379.572,475.422,371.282,429.4,183.2,110.847,52.76,98.664,184.462,224.96,228.062,108.32,175.89,105.787,221.7,197.284,272.552,218.776,222.082,126.928,236.879,1.016,154.32,308.876,5.078,20.042,117.698
2017-09-07 18:40:00,327.484,56.629,229.4,490.148,56.681,70.923,125.833,1420.96,123.101,163.365,380.911,477.032,374.114,424.2,181.4,112.857,54.24,98.104,186.26,224.107,227.239,106.995,176.969,104.427,222.6,198.016,275.804,217.566,222.58,128.396,234.527,0.958,152.318,310.44,5.342,20.166,119.42
2017-09-07 18:45:00,327.997,56.668,229.967,492.656,58.839,71.45,126.563,1420.42,122.829,160.536,380.567,474.632,373.028,425.8,183.2,112.58,54.117,99.404,184.594,227.067,230.497,108.427,177.201,104.053,223.64,198.326,275.614,216.832,224.932,128.402,235.348,0.982,152.356,313.256,5.496,20.682,117.911
2017-09-07 18:50:00,329.567,55.497,229.3,494.697,58.848,72.357,126.05,1427.38,120.882,161.154,379.308,476.674,375.378,428.8,183.8,114.493,54.25,98.466,181.612,225.653,228.183,108.851,175.636,103.52,222.902,198.862,275.68,217.288,225.176,124.524,235.603,0.89,152.968,312.1,5.332,19.912,118.123
2017-09-07 18:55:00,333.518,56.018,227.4,490.191,57.887,71.147,125.74,1426.66,123.473,163.238,382.981,477.384,375.256,428.0,183.2,113.81,53.603,99.584,183.716,224.827,227.311,108.428,176.012,104.373,222.63,196.944,276.856,217.684,224.142,127.506,236.681,1.0,153.166,312.154,5.56,20.842,120.009
2017-09-07 19:00:00,332.475,56.452,229.6,492.154,57.696,73.97,125.887,1425.76,122.075,161.226,380.903,473.011,375.532,429.2,182.8,114.907,52.475,99.666,187.0,226.88,228.447,111.59,176.235,105.627,221.42,197.828,270.452,216.852,220.502,125.754,235.301,0.938,152.444,311.69,5.237,20.755,117.205
2017-09-07 19:05:00,329.614,56.946,227.9,492.303,58.299,73.437,128.84,1424.78,123.227,162.48,381.303,479.068,377.24,424.6,185.0,110.76,54.06,97.704,183.502,228.293,227.094,108.192,176.208,104.507,222.08,197.97,270.196,218.112,221.352,128.364,234.818,0.996,152.13,308.316,5.315,20.889,117.769
2017-09-07 19:10:00,329.166,57.007,225.5,489.101,57.78,71.79,126.497,1436.1,122.166,162.09,378.678,474.041,375.98,427.6,182.4,111.203,54.6,98.414,182.008,228.8,231.324,109.424,176.163,104.267,223.234,197.78,271.646,219.446,218.428,126.314,234.228,0.91,153.112,309.644,5.473,20.099,117.487
2017-09-07 19:15:00,332.053,55.699,226.5,487.829,58.886,72.15,125.53,1426.62,124.749,162.159,381.399,478.449,376.852,428.6,182.4,110.856,52.91,98.716,184.796,226.64,232.097,109.588,179.187,104.826,221.934,199.042,280.398,218.42,221.416,123.036,236.216,0.95,150.984,311.494,4.934,20.05,118.312
2017-09-07 19:20:00,331.162,56.46,227.933,495.85,58.685,72.64,126.427,1428.94,122.609,163.525,377.275,478.114,377.012,424.6,184.6,112.693,54.48,98.172,182.986,226.293,231.947,109.175,177.31,103.76,218.98,198.966,272.698,218.44,218.574,127.92,235.872,0.909,154.202,312.59,5.338,20.182,118.287
