DATETIME,DJON,ATHN,MXCO,CALM,ROME,AATA,AATB,BKSN,JUNG,JUNG1,LMKS,IRK2,DRBS,NEWK,KIEL2,YKTK,KERG,OULU,APTY,NRLK,TXBY,FSMT,INVK,JBGO,NAIN,PWNK,THUL,MWSN,SOPB,SOPO,DOMB,DOMC,TERA
2021-11-03 14:40:00,142.976,56.62,229.427,73.88,126.92,0.093,1380.16,125.698,166.461,399.448,470.642,381.396,112.678,100.1,189.362,228.773,234.059,112.502,179.822,131.49,106.107,221.7,196.824,282.207,224.732,228.994,127.612,241.985,158.464,319.77,5.789,19.969,123.977
2021-11-03 14:45:00,137.162,56.214,226.907,72.667,127.157,0.09,1385.9,125.232,166.016,396.735,472.524,379.88,112.594,99.19,187.515,228.4,235.686,111.651,180.264,133.578,104.72,222.08,195.392,283.055,224.674,226.666,127.496,242.021,157.662,318.1,5.64,20.686,122.843
2021-11-03 14:50:00,,54.928,227.633,75.4,127.253,0.097,1387.4,126.599,165.332,398.393,469.399,378.684,111.828,100.264,188.678,226.827,236.029,110.833,180.876,131.807,105.84,223.952,196.986,286.09,223.866,227.666,127.94,243.803,157.44,319.904,5.9,20.052,123.185
2021-11-03 14:55:00,144.862,56.395,228.41,70.757,127.357,0.086,1381.26,126.309,167.738,397.828,470.776,380.786,111.771,98.92,187.679,228.4,235.137,113.003,181.285,129.993,104.427,224.456,195.818,281.723,223.55,228.876,128.19,241.977,158.208,319.83,5.434,20.679,122.0
2021-11-03 15:00:00,144.793,56.381,226.803,74.077,126.993,0.093,1391.98,125.904,165.735,396.891,468.548,382.454,113.094,99.686,189.002,227.787,234.989,111.021,177.859,130.63,106.0,223.478,197.232,280.7,225.282,226.592,128.144,241.188,157.792,317.65,5.358,20.537,121.957
2021-11-03 15:05:00,140.837,56.508,230.893,72.167,128.473,0.097,1371.8,125.389,165.668,398.816,470.107,378.382,113.87,98.232,188.402,228.053,236.077,109.692,180.864,133.355,106.347,222.306,193.838,283.267,227.302,229.74,128.392,244.615,156.898,318.614,5.637,20.396,121.924
2021-11-03 15:10:00,143.169,55.945,229.363,76.223,126.61,0.097,1380.16,127.125,165.338,398.179,470.387,378.088,112.41,99.384,189.323,228.613,235.782,111.416,178.678,131.713,105.813,222.722,196.232,281.037,224.304,229.368,129.168,243.744,158.232,319.056,5.286,20.341,122.315
2021-11-03 15:15:00,140.457,55.506,226.937,73.79,128.54,0.09,1377.38,125.179,165.375,395.988,471.882,379.176,111.744,98.978,186.911,228.08,236.284,112.437,179.899,129.722,105.867,223.698,195.282,285.295,227.0,228.842,127.22,242.203,157.64,320.43,5.488,20.544,121.942
2021-11-03 15:20:00,141.72,55.977,229.587,73.8,127.95,0.09,1387.98,124.792,165.227,396.595,471.331,378.744,112.608,99.356,187.265,230.08,237.27,110.948,179.983,130.2,104.587,220.942,195.442,280.835,225.116,226.828,128.638,242.921,158.322,319.028,5.729,19.981,120.776
2021-11-03 15:25:00,141.077,55.768,231.977,73.173,127.347,0.09,1379.64,126.082,165.685,401.674,470.422,376.848,112.062,100.48,189.236,227.867,237.518,111.744,179.048,128.567,105.867,223.594,195.854,279.27,222.612,228.146,129.258,241.774,157.204,321.116,5.484,19.996,121.73
