DATETIME,ATHN,MXCO,NANM,CALM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK2,IRK3,IRKT,DRBS,NEWK,KIEL2,YKTK,KERG,CALG,OULU,APTY,NRLK,TXBY,FSMT,INVK,JBGO,NAIN,PWNK,THUL,MWSN,SOPB,SOPO,DOMB,DOMC,TERA
2023-04-23 12:35:00,53.89,218.467,263.989,,123.813,1313.4,123.044,157.706,354.704,432.242,346.634,379.75,170.0,108.411,93.474,173.709,209.467,216.589,287.5,103.904,170.417,121.462,98.187,207.012,183.948,259.57,204.406,208.31,117.656,218.422,137.378,284.59,4.761,17.882,112.194
2023-04-23 12:40:00,53.445,221.003,265.015,,122.913,1300.58,125.212,157.602,357.429,430.945,348.994,375.0,167.4,105.34,91.13,174.622,210.267,215.526,289.331,105.111,167.495,121.636,97.307,206.17,186.802,259.94,204.522,206.57,119.498,217.421,137.816,282.498,4.852,17.924,109.626
2023-04-23 12:45:00,54.431,221.373,263.766,,123.273,1315.24,124.246,156.428,353.693,430.877,347.176,380.2,167.2,106.394,92.924,174.778,209.76,216.515,288.761,102.862,168.902,121.186,95.947,204.602,185.008,264.935,204.342,206.866,117.522,218.434,137.742,283.242,4.646,17.782,112.942
2023-04-23 12:50:00,54.701,221.133,261.493,,123.317,1303.14,123.487,157.379,356.493,431.228,349.43,379.2,169.2,108.725,94.144,174.362,210.08,215.847,292.523,103.354,172.311,122.29,98.56,208.4,184.978,258.43,201.988,203.054,117.136,219.514,137.42,281.464,4.838,17.944,111.512
2023-04-23 12:55:00,54.327,219.687,262.054,,121.863,1303.92,122.77,156.551,356.429,429.092,347.718,374.8,168.0,105.093,90.82,174.924,210.667,214.601,290.383,101.815,171.312,121.942,97.973,207.144,184.68,260.63,200.758,207.452,116.698,219.146,137.288,285.214,5.098,17.894,112.105
2023-04-23 13:00:00,54.597,222.783,262.304,,122.476,1295.64,122.925,156.724,354.417,427.957,349.404,373.6,168.8,109.378,91.958,175.059,209.387,213.851,288.966,101.681,170.463,120.37,98.32,207.89,184.066,260.02,203.252,205.314,117.976,220.509,136.62,282.456,4.803,17.965,113.198
2023-04-23 13:05:00,54.428,219.13,263.131,,124.187,1308.38,124.687,156.383,358.411,430.084,346.188,379.0,167.2,106.274,91.434,172.648,209.867,215.267,291.329,102.3,169.163,124.31,99.413,207.894,186.064,265.49,203.866,208.082,118.998,217.92,138.126,283.038,4.916,17.96,110.864
2023-04-23 13:10:00,54.61,218.94,267.209,,126.093,1305.68,123.67,157.132,354.908,426.162,348.534,379.0,167.8,108.078,93.22,174.174,208.587,215.0,290.763,101.374,170.36,122.032,97.173,209.016,181.7,,201.526,205.444,118.46,219.743,136.694,282.156,4.961,18.183,112.021
2023-04-23 13:15:00,54.521,221.637,265.897,,123.743,1308.44,124.795,155.661,358.006,429.745,350.474,380.5,167.8,106.059,92.702,173.45,211.013,214.555,290.305,102.724,168.193,123.448,97.573,208.66,183.866,253.47,203.146,207.296,117.834,219.111,137.58,280.426,4.745,17.467,112.589
2023-04-23 13:20:00,55.131,221.62,265.922,,125.143,1301.66,123.029,156.445,353.354,432.109,349.422,377.4,168.8,107.195,92.54,174.048,209.28,215.986,290.873,103.401,168.77,121.232,98.32,208.54,185.022,255.475,204.688,210.348,118.79,218.187,137.646,283.178,5.029,17.404,112.612
