DATETIME,MXCO,NANM,CALM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK2,IRK3,DRBS,NEWK,KIEL2,YKTK,KERG,CALG,OULU,APTY,TXBY,FSMT,INVK,JBGO,NAIN,PWNK,THUL,MWSB,MWSN,SOPB,SOPO,DOMB,DOMC,TERA
2024-05-10 12:05:00,221.107,257.775,71.817,122.47,1290.62,118.313,151.581,331.123,431.036,,404.4,102.312,90.476,168.249,202.16,208.342,278.001,101.428,162.652,93.627,201.126,177.298,,198.69,200.404,113.356,25.79,230.586,127.806,270.234,4.557,16.975,108.057
2024-05-10 12:10:00,222.523,257.501,70.083,122.64,1280.1,116.45,152.627,332.944,426.796,,407.0,104.741,89.508,165.489,203.173,210.612,278.244,98.987,162.983,94.64,198.418,175.558,251.1,197.246,201.416,112.284,26.448,229.408,128.158,268.438,4.53,16.84,108.73
2024-05-10 12:15:00,221.81,257.168,72.827,123.567,1276.02,118.553,155.0,334.326,430.357,,409.2,103.832,87.86,167.043,203.92,210.44,280.048,101.063,163.628,95.787,199.486,176.382,245.5,198.808,201.302,112.24,26.32,228.762,128.068,269.486,4.673,16.237,108.781
2024-05-10 12:20:00,221.397,257.16,69.783,121.573,1284.92,117.123,152.589,331.924,427.597,,411.4,102.994,88.524,169.391,203.547,210.387,276.405,100.956,164.579,94.693,200.514,178.89,247.533,196.128,201.918,114.402,26.25,229.03,128.844,268.24,4.328,16.448,108.883
2024-05-10 12:25:00,220.603,257.572,70.817,122.72,1287.52,117.113,152.426,335.138,430.7,,408.4,105.842,90.09,165.564,203.547,213.608,279.09,100.367,163.271,94.747,198.9,176.372,249.3,196.806,203.422,113.288,26.1,229.45,128.674,270.72,4.644,17.203,107.466
2024-05-10 12:30:00,221.913,256.649,72.03,121.99,1277.32,115.978,153.313,329.287,427.827,,407.8,102.849,89.842,166.772,204.08,209.223,279.113,98.852,162.636,94.613,197.808,176.606,249.5,198.718,204.046,113.988,26.374,228.14,129.154,268.702,4.462,17.104,110.192
2024-05-10 12:35:00,220.44,257.283,68.93,122.107,1291.58,116.367,153.216,328.281,430.361,,408.2,105.165,90.046,169.637,205.973,208.379,279.322,101.713,162.907,95.36,198.054,176.756,249.025,199.904,203.456,114.814,25.384,229.726,129.036,268.464,4.619,17.146,107.64
2024-05-10 12:40:00,224.407,257.024,70.97,124.083,1274.56,116.974,151.978,332.989,428.69,,405.0,103.343,88.898,168.306,203.333,207.993,276.467,99.095,163.418,94.347,200.264,175.376,247.65,200.344,201.136,113.364,26.194,227.976,128.47,267.358,4.518,16.839,109.02
2024-05-10 12:45:00,221.02,255.897,71.58,123.93,1279.96,118.499,152.227,331.903,428.706,,409.4,106.629,89.55,167.242,205.333,207.932,277.571,99.978,163.473,95.013,200.102,178.926,251.1,197.64,198.592,113.832,26.118,228.866,128.418,271.384,4.733,16.685,109.991
2024-05-10 12:50:00,222.263,258.333,73.74,123.21,1279.94,116.564,153.601,328.977,426.812,,410.6,104.208,89.296,168.387,204.933,213.012,275.083,97.8,161.37,95.547,200.746,176.528,249.733,198.132,203.038,113.58,26.052,229.606,128.172,269.118,4.493,17.032,110.106
2024-05-10 12:55:00,221.39,258.36,72.32,123.393,1289.98,118.026,153.203,325.438,430.701,,407.8,103.239,90.896,167.534,205.573,206.905,277.716,99.212,161.354,94.267,201.202,175.618,254.9,200.44,202.246,114.052,26.59,227.936,127.756,270.012,4.414,17.07,108.169
2024-05-10 13:00:00,224.33,257.12,72.657,121.107,1288.3,116.436,153.864,330.608,429.489,,410.0,104.101,89.854,164.102,205.36,211.209,279.958,101.009,162.812,96.587,199.98,178.46,250.3,198.256,203.096,114.074,26.908,227.914,128.84,269.186,4.472,16.766,109.657
2024-05-10 13:05:00,222.01,258.353,71.22,119.943,1286.34,118.758,153.902,329.506,429.574,,408.4,104.869,90.298,166.589,204.8,209.321,277.528,99.205,162.804,95.893,198.938,175.652,248.9,199.08,203.446,113.062,26.28,230.41,128.602,271.104,4.586,16.944,109.209
2024-05-10 13:10:00,223.126,255.736,71.66,121.023,1280.96,117.432,154.363,330.446,429.468,,407.4,103.043,90.114,166.008,204.427,210.524,278.539,100.768,164.833,95.813,199.654,176.516,248.3,198.908,204.696,114.734,26.382,228.154,129.336,269.83,4.472,17.02,108.465
2024-05-10 13:15:00,221.36,256.795,71.563,122.813,1281.92,118.678,152.647,331.301,431.362,,408.4,102.628,89.632,166.832,205.28,208.239,277.855,99.82,163.396,94.827,197.794,174.196,245.6,199.426,202.55,114.458,26.764,228.722,128.652,269.322,4.515,17.117,109.31
2024-05-10 13:20:00,223.423,258.266,70.82,123.72,1294.38,117.435,152.483,331.657,429.137,,411.6,103.049,88.98,167.566,206.4,209.327,278.594,101.303,163.881,95.333,200.184,175.032,250.75,199.794,200.344,113.976,26.21,229.698,128.802,271.334,4.556,16.607,109.772
2024-05-10 13:25:00,222.633,253.818,70.537,123.134,1294.56,115.641,151.774,331.299,430.82,,407.8,103.091,91.006,168.581,204.347,211.166,280.601,102.027,164.386,96.24,197.296,177.996,,200.342,203.854,114.414,26.34,224.736,128.224,271.116,4.5,16.826,109.837
2024-05-10 13:30:00,221.497,256.939,72.04,122.77,1279.98,119.649,154.396,331.638,429.695,,409.2,104.382,90.65,168.735,205.44,208.203,277.319,100.446,162.266,96.0,199.568,178.646,249.9,200.24,203.592,115.772,26.804,229.698,128.468,267.904,4.707,16.75,110.342
2024-05-10 13:35:00,224.863,252.899,71.02,122.703,1282.48,119.186,152.114,330.69,430.044,,407.4,102.828,90.706,165.02,202.24,209.041,277.216,99.458,163.068,94.693,198.942,178.526,247.25,199.986,201.34,115.054,26.318,227.466,128.792,270.14,4.704,17.255,107.108
