event_date,drop,intensity,dst,normalization,adjacency_method,global_efficiency,estrada_index,entropy,fractal,hurst_rs,modularity,assortativity,avg_katz,avg_closeness,avg_betweenness,avg_laplacian
2024-05-10,15.32,G5,-412.0,min_max,manhattan,0.27079628939588773,83.32030535385152,3.397476638724093,1.3274360327744705,0.5324759198213979,0.675045707654192,-0.32574762946754193,0.17207740280963474,0.1697188592107629,0.1682551319648094,0.07399065239653854
2024-05-10,15.32,G5,-412.0,z_score,manhattan,0.26544551828642643,80.0191174145057,3.2977031171814324,1.192491745090309,0.382373158753332,0.6897472365694414,-0.390279823269514,0.17265621573555104,0.17280394207094923,0.1604349951124145,0.06989687215018812
2024-05-10,15.32,G5,-412.0,robust,manhattan,0.27964165464165375,80.99992477405759,3.2927638229852763,1.3642867413853923,0.4460321168314185,0.6860875407557753,-0.4275092936802974,0.1724497868470121,0.1954933552241656,0.1381964809384164,0.07071910489304861
2024-05-10,15.32,G5,-412.0,decimal_scaling,manhattan,0.26623977085624767,83.1307365008578,3.414264743476236,1.1782019256684284,0.49785052059796925,0.6768100031504176,-0.38876199177706716,0.17218885653675892,0.16533758184616276,0.1703323558162268,0.07454258684132008
2024-05-10,15.32,G5,-412.0,none,manhattan,0.26623977085624767,83.1307365008578,3.414264743476236,1.1782019256684284,0.49785052059796175,0.6768100031504175,-0.38876199177706716,0.17218885653675892,0.16533758184616276,0.1703323558162268,0.07454258684132008
2024-05-10,15.32,G5,-412.0,min_max,minkowski,0.2638399426751694,79.17305265312817,3.4135463837994795,1.483118311053721,0.44825791560778244,0.6671951604863177,-0.24878048780487805,0.17277219308187702,0.17270509995593247,0.1625122189638319,0.07262656494004134
2024-05-10,15.32,G5,-412.0,z_score,minkowski,0.2667134948384938,80.98172012461862,3.3077612280453446,1.2264958930095866,0.5139875700601302,0.684938568935162,-0.44404332129963897,0.17249410906533702,0.1701538465784622,0.1627565982404692,0.0712642426161481
2024-05-10,15.32,G5,-412.0,robust,minkowski,0.2731875920796369,79.83385750796101,3.281408803504391,1.2928730168589713,0.35788258448494026,0.7073566132465138,-0.28530020703933745,0.1726233876543657,0.18581654730416514,0.14638318670576733,0.07028712150693248
2024-05-10,15.32,G5,-412.0,decimal_scaling,minkowski,0.25282196233900733,79.57701658186936,3.4102898413875993,1.3759748350462053,0.4972768274169888,0.6813650421869839,-0.3958333333333333,0.17280746371801822,0.15499333882526906,0.18328445747800587,0.07282800875383132
2024-05-10,15.32,G5,-412.0,none,minkowski,0.25282196233900733,79.57701658186936,3.4102898413875993,1.3759748350462053,0.49727682741698925,0.681365042186984,-0.3958333333333333,0.17280746371801822,0.15499333882526906,0.18328445747800587,0.07282800875383136
2024-03-24,11.47,G4,-130.0,min_max,manhattan,0.265078771186725,78.18802977343026,3.4243438514141067,1.1539493906533071,0.35574731600895027,0.68913548032178,-0.24855491329479767,0.17299525987279846,0.18821891681141276,0.14772727272727273,0.0728881592371953
2024-03-24,11.47,G4,-130.0,z_score,manhattan,0.27267584057356714,80.23523367236737,3.4234334924833045,1.1275029943821004,0.47745566774334114,0.6754697397008552,-0.47410586552217454,0.17269677658122187,0.1943343839044079,0.14198435972629522,0.07496274725593699
2024-03-24,11.47,G4,-130.0,robust,manhattan,0.2674638387706562,79.33118751226438,3.4295868584384213,1.224241312350907,0.3871225315988993,0.6910625088194022,-0.3421359223300971,0.17279363920248758,0.18465452272280894,0.14992668621700878,0.07391796523450236
