event_date,drop,driver_type,geomagnetic_storm_level,Dst_nT,notes,primary_source,validation
2024-05-10,15.32,Multiple "cannibal" Coronal Mass Ejections (CMEs) from the massive active region AR13664 (15 times the size of Earth) which merged into a single "super-shock" that hit Earth at 17:05 UT on May 10,G5,-412,"Kp=9; Often referred to as the May 2024 (Mother’s Day) superstorm",https://iopscience.iop.org/article/10.3847/1538-4357/ad9335,*
2024-03-24,11.47,The disturbance was caused by a full halo Coronal Mass Ejection (CME) associated with an X1.1 solar flare from Active Region 3614 which erupted on March 23,G4,-130,"Kp=8 (NOAA scale); unusual FD with fast recovery reported across NM network",https://www.swpc.noaa.gov/news/severe-g4-geomagnetic-storms-observed-24-march-2024,*
2023-04-23,6.57,The storm was caused by a full-halo Coronal Mass Ejection (CME) associated with an M1.7 solar flare that erupted on April 21,G2,-213, This was the most intense geomagnetic storm since the 2015 "St. Patrick's Day" storm until it was surpassed by the May 2024 extreme event,https://www.swpc.noaa.gov/news/g1-g2-minor-moderate-geomagnetic-storm-watches-23-24-april-2023,*
2021-11-03,9.68,A high-velocity "cannibal" CME from an M7.1 flare (sunspot region AR2891) that overtook slower preceding eruptions,G3,-117,The storm reached a maximum Kp-index of 8- and produced vibrant auroras visible as far south as New Mexico and California,https://arxiv.org/abs/2212.13514,*
2017-09-07,6.41,This event was driven by the strongest flare of Solar Cycle 24—an X9.3 flare from Active Region 12673 on September 6—which launched a fast-moving halo Coronal Mass Ejection (CME) with speeds exceeding 1500 km/s,G4,-144,"Reported as G4 severe storm; Dstmin listed as −142 nT (quick-look) in event overview",https://iopscience.iop.org/article/10.3847/1538-4357/ad0550,*
2015-06-22,8.57,A series of five halo or partial-halo CMEs reached Earth over six days mostly originating from active region AR 12371 which produced several M-class flare,G4,-198,"Often called the 2015 Summer Solstice Storm; Dst ≈ −198 nT (Kyoto provisional cited in aviation impacts deck)",https://link.springer.com/article/10.1007/s11207-018-1290-9,*
2012-07-14,6.7,An X1.4 solar flare from Active Region 1520 launched a fast halo CME with an initial speed of 1285 km/s,G4,-139,Reached a G4 (Severe) level with a minimum Dst index of -139 nT and a Kp-index of 7,https://link.springer.com/article/10.1007/s11207-020-01703-2,*
2012-03-08,10.4,This event was driven by a pair of powerful eruptions from Active Region 11429 including an X5.4 and an X1.3 flare on March 7,G3/G4,-148,Global Total Electron Content (TEC) variations were observed and the storm significantly compressed the magnetosphere,https://www.frontiersin.org/journals/astronomy-and-space-sciences/articles/10.3389/fspas.2022.1049906/full,*
2011-10-24,6.01,A magnetic filament eruption around 01:00 UT on October 22 propelled a halo CME toward Earth at speeds exceeding 2 million mph (approx. 900 km/s),G3,-137,The CME contained a "knot" of southward-pointing magnetic field (\(B_{z}\)) which allowed solar wind plasma to penetrate deeply into the magnetosphere,https://www.spaceweather.live/en/archive/2011/10/24/xray.html,*
2006-12-14,9.29,An X3.8-class solar flare from Active Region 930 launched a fast CME (estimated at over 1700 km/s),G4,-146,This occurred during Solar Minimum surprising researchers with its intensity during a normally quiet phase,https://link.springer.com/article/10.1134/S0016793211050173,*
